temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,21.166277,21.166277,0,0,0,0
10,21.166277,21.166278,0.00010844252,0.00074261166,0.00010844314,0.00074261548
20,21.166262,21.166345,0.004147606,0.017348458,0.0041476225,0.017348522
30,21.166154,21.166765,0.020363189,0.076784878,0.020363264,0.076785159
40,21.165778,21.168181,0.060081825,0.22675978,0.060082047,0.22676063
50,21.164819,21.171811,0.13984387,0.5292272,0.13984439,0.52922914
60,21.162789,21.179413,0.27707107,1.0244811,0.27707208,1.0244847
70,21.159043,21.19295,0.48438058,1.7134314,0.4843823,1.7134371
80,21.152848,21.214234,0.76732615,2.5678868,0.76732878,2.5678948
90,21.143446,21.244729,1.1253705,3.5489613,1.1253742,3.5489717
100,21.130105,21.285513,1.5540796,4.6201674,1.5540846,4.6201803
110,21.11215,21.337337,2.0471568,5.7529675,2.0471631,5.7529828
120,21.08897,21.40071,2.5978318,6.9272084,2.5978395,6.9272262
130,21.060023,21.475973,3.19962,8.1292621,3.1996293,8.1292823
140,21.024827,21.563356,3.8466375,9.349722,3.8466483,9.3497445
150,20.982957,21.663005,4.5336584,10.581521,4.5336708,10.581546
160,20.934036,21.775004,5.2560536,11.8187,5.2560677,11.818727
170,20.877731,21.899379,6.009691,13.05575,6.0097068,13.05578
180,20.81375,22.036101,6.7908385,14.287362,6.7908561,14.287394
190,20.741834,22.185091,7.5960869,15.508401,7.5961063,15.508434
200,20.661759,22.346218,8.422295,16.713996,8.4223161,16.714032
210,20.573328,22.519304,9.2665524,17.899662,9.2665753,17.899699
220,20.476377,22.704131,10.126157,19.061396,10.126182,19.061435
230,20.370762,22.900441,10.998602,20.195751,10.998629,20.195792
240,20.256369,23.107945,11.881566,21.299869,11.881594,21.299911
250,20.133103,23.32633,12.772907,22.371477,12.772937,22.371521
260,20.00089,23.555261,13.670657,23.408869,13.670689,23.408915
270,19.859675,23.794389,14.573017,24.410856,14.57305,24.410903
280,19.70942,24.043357,15.478349,25.376717,15.478384,25.376765
290,19.550103,24.301802,16.38517,26.306139,16.385207,26.306188
298.15,19.413551,24.51919,17.124398,27.036683,17.124436,27.036732
300,19.381716,24.569359,17.292143,27.199159,17.292182,27.199208
310,19.204263,24.845665,18.198069,28.056106,18.19811,28.056157
320,19.017762,25.130363,19.101878,28.877549,19.10192,28.877601
330,18.822236,25.4231,20.002618,29.66425,20.002662,29.664302
340,18.617722,25.723535,20.899449,30.417118,20.899494,30.417171
350,18.404263,26.031333,21.79163,31.137177,21.791676,31.13723
360,18.181907,26.346173,22.678515,31.825531,22.678563,31.825585
370,17.950712,26.667742,23.55954,32.483339,23.55959,32.483393
380,17.710738,26.995742,24.434221,33.111793,24.434272,33.111848
390,17.46205,27.329884,25.302138,33.712099,25.302191,33.712154
400,17.204719,27.669894,26.162938,34.285465,26.162992,34.28552
410,16.938816,28.015507,27.01632,34.833083,27.016376,34.833139
420,16.664418,28.366473,27.862037,35.356129,27.862094,35.356185
430,16.381602,28.722552,28.699885,35.855747,28.699943,35.855803
440,16.090447,29.083514,29.529698,36.33305,29.529757,36.333106
450,15.791035,29.449142,30.35135,36.789111,30.35141,36.789168
460,15.483447,29.819229,31.164742,37.224968,31.164804,37.225025
470,15.167768,30.193577,31.969808,37.641612,31.969871,37.641669
480,14.844079,30.572,32.766502,38.039995,32.766567,38.040052
490,14.512466,30.954319,33.554804,38.421025,33.554869,38.421083
500,14.173011,31.340366,34.33471,38.785569,34.334776,38.785627
510,13.825799,31.729979,35.106234,39.134452,35.106302,39.13451
520,13.470914,32.123005,35.869406,39.468457,35.869475,39.468515
530,13.108439,32.519301,36.624267,39.788329,36.624337,39.788388
540,12.738456,32.918727,37.370872,40.094775,37.370943,40.094833
550,12.361049,33.321154,38.109281,40.388463,38.109354,40.388521
560,11.976298,33.726456,38.839568,40.670028,38.839641,40.670087
570,11.584284,34.134516,39.56181,40.940072,39.561884,40.94013
580,11.185088,34.545221,40.276091,41.199162,40.276166,41.199221
590,10.778789,34.958464,40.982501,41.447837,40.982577,41.447896
600,10.365464,35.374145,41.681134,41.686607,41.681211,41.686665
610,9.9451916,35.792165,42.372088,41.915952,42.372166,41.91601
620,9.5180476,36.212434,43.055462,42.136328,43.055541,42.136387
630,9.0841073,36.634863,43.731358,42.348167,43.731439,42.348226
640,8.643445,37.05937,44.399883,42.551876,44.399964,42.551935
650,8.1961339,37.485875,45.06114,42.74784,45.061222,42.747899
660,7.7422461,37.914302,45.715237,42.936426,45.715319,42.936485
670,7.2818527,38.34458,46.36228,43.117976,46.362363,43.118035
680,6.8150236,38.776639,47.002376,43.29282,47.002461,43.292879
690,6.3418279,39.210415,47.635633,43.461265,47.635719,43.461324
700,5.8623334,39.645844,48.262158,43.623605,48.262245,43.623664
710,5.3766069,40.082868,48.882057,43.780117,48.882145,43.780176
720,4.884714,40.521428,49.495436,43.931063,49.495524,43.931122
730,4.3867195,40.961471,50.1024,44.076693,50.102488,44.076752
740,3.882687,41.402945,50.703051,44.217242,50.703141,44.217301
750,3.3726792,41.8458,51.297494,44.352934,51.297585,44.352994
760,2.8567575,42.289988,51.88583,44.483982,51.885921,44.484041
770,2.3349826,42.735465,52.468159,44.610586,52.468251,44.610645
780,1.807414,43.182186,53.044579,44.732937,53.044672,44.732996
790,1.2741104,43.63011,53.615189,44.851217,53.615283,44.851276
800,0.7351293,44.079197,54.180085,44.965598,54.180179,44.965657
810,0.19052743,44.529409,54.73936,45.076242,54.739455,45.076302
820,-0.35963949,44.98071,55.293109,45.183307,55.293205,45.183366
830,-0.91531664,45.433064,55.841423,45.286939,55.841519,45.286998
840,-1.4764501,45.886438,56.38439,45.387279,56.384488,45.387338
850,-2.0429869,46.340799,56.922101,45.48446,56.922199,45.48452
860,-2.6148749,46.796117,57.454642,45.57861,57.45474,45.57867
870,-3.1920628,47.252362,57.982097,45.66985,57.982196,45.669909
880,-3.7745002,47.709505,58.504551,45.758295,58.504651,45.758354
890,-4.3621374,48.167519,59.022085,45.844054,59.022186,45.844113
900,-4.9549258,48.626377,59.534781,45.927233,59.534882,45.927292
910,-5.5528172,49.086055,60.042717,46.007931,60.042819,46.00799
