temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,20.847538,20.847538,0,0,0,0
10,20.847538,20.847539,0.00011222891,0.00076568605,0.00011222955,0.00076568998
20,20.847523,20.847608,0.0042420566,0.017688916,0.0042420735,0.017688981
30,20.847413,20.848034,0.020714464,0.077811024,0.02071454,0.077811307
40,20.847031,20.849465,0.060858953,0.22881824,0.060859178,0.22881909
50,20.846061,20.853124,0.14125482,0.53311892,0.14125534,0.53312089
60,20.844012,20.860781,0.27946859,1.0318612,0.27946961,1.0318649
70,20.840236,20.874418,0.48832115,1.7266534,0.48832289,1.7266591
80,20.833991,20.895876,0.77356102,2.5897003,0.77356367,2.5897084
90,20.824511,20.926644,1.1348134,3.582365,1.1348171,3.5823755
100,20.811055,20.967833,1.5677781,4.6683476,1.5677831,4.6683607
110,20.792937,21.020226,2.0662673,5.8191765,2.0662736,5.819192
120,20.769534,21.084364,2.6235877,7.0145436,2.6235955,7.0145616
130,20.74029,21.160618,3.2332906,8.2404026,3.2332999,8.2404231
140,20.704713,21.24924,3.8894798,9.4867008,3.8894907,9.4867237
150,20.662364,21.350394,4.58687,10.745583,4.5868826,10.745608
160,20.612854,21.464171,5.3207312,12.010258,5.3207456,12.010285
170,20.555842,21.590598,6.0867993,13.27443,6.0868154,13.27446
180,20.491024,21.729638,6.8811903,14.532102,6.8812082,14.532134
190,20.418135,21.881199,7.7003344,15.777587,7.700354,15.777622
200,20.336946,22.045132,8.5409295,17.005611,8.540951,17.005648
210,20.247256,22.221237,9.3999118,18.211418,9.3999352,18.211456
220,20.148896,22.409272,10.274438,19.390859,10.274463,19.390899
230,20.041724,22.608955,11.161873,20.540443,11.1619,20.540485
240,19.925623,22.819972,12.059786,21.657346,12.059814,21.657389
250,19.800501,23.041985,12.965939,22.739392,12.965969,22.739436
260,19.666284,23.274638,13.878286,23.785008,13.878318,23.785054
270,19.52292,23.517561,14.794963,24.793171,14.794997,24.793218
280,19.370376,23.770375,15.714282,25.763336,15.714318,25.763384
290,19.208631,24.0327,16.634721,26.695374,16.634758,26.695423
298.15,19.070001,24.253266,17.384753,27.426928,17.384792,27.426978
300,19.037682,24.304156,17.554912,27.589503,17.554952,27.589554
310,18.857538,24.584365,18.473638,28.44623,18.473679,28.446281
320,18.668218,24.872958,19.389813,29.266288,19.389856,29.26634
330,18.469753,25.169572,20.302481,30.050594,20.302525,30.050647
