temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol,Cp_rel_err_pct_el,S_err_J_K_mol_el
100,14.9678,12.997,10.1491,6.987,15.1635,3.16211,16.2022,3.29711
200,21.4714,21.338,23.0438,19.144,0.625063,3.89982,1.89041,4.16982
250,22.6116,23.084,27.9696,24.108,-2.04624,3.86165,-0.584191,4.19915
298.15,23.2598,24.209,32.0123,28.275,-3.92105,3.7373,-2.25843,4.1398
300,23.2791,24.247,32.1562,28.425,-3.99168,3.73123,-2.32137,4.13623
350,23.6995,25.113,35.7786,32.231,-5.62856,3.54761,-3.74707,4.02011
400,23.9799,25.784,38.9627,35.63,-6.9969,3.33273,-4.90258,3.87273
450,24.1757,26.335,41.7991,38.699,-8.19917,3.10011,-5.89236,3.70761
500,24.3176,26.842,44.354,41.501,-9.40449,2.853,-6.88977,3.528
600,24.5048,27.886,48.8057,46.485,-12.125,2.32069,-9.22034,3.13069
