temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol,Cp_rel_err_pct_el,S_err_J_K_mol_el
100,14.7651,12.997,9.85736,6.987,13.604,2.87036,14.6427,3.00536
200,21.3793,21.338,22.6497,19.144,0.193355,3.50571,1.4587,3.77571
250,22.5474,23.084,27.5582,24.108,-2.32474,3.45023,-0.862684,3.78773
298.15,23.2124,24.209,31.5911,28.275,-4.11681,3.3161,-2.45419,3.71861
300,23.2323,24.247,31.7348,28.425,-4.185,3.30975,-2.51469,3.71475
350,23.664,25.113,35.3508,32.231,-5.76988,3.11982,-3.88838,3.59232
400,23.9522,25.784,38.5307,35.63,-7.10438,2.90073,-5.01006,3.44073
450,24.1536,26.335,41.3642,38.699,-8.28346,2.66519,-5.97665,3.27269
500,24.2995,26.842,43.917,41.501,-9.47214,2.41596,-6.95742,3.09096
600,24.492,27.886,48.3659,46.485,-12.1708,1.88086,-9.26614,2.69086
