temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,3.2494946,3.2494946,0,0,0,0
10,3.2494407,3.249684,0.02432793,0.081087168,0.024328013,0.081087438
20,3.2484063,3.2529722,0.22829465,0.70503406,0.22829539,0.70503626
30,3.2437905,3.2663591,0.75228392,2.0856373,0.75228621,2.0856432
40,3.2322614,3.2964091,1.6036916,3.9821485,1.6036962,3.9821587
50,3.210845,3.3466603,2.7163044,6.0800579,2.7163117,6.0800721
60,3.1773324,3.4179459,4.0102236,8.161971,4.0102338,8.1619889
70,3.130267,3.5094409,5.4167702,10.10837,5.4167834,10.108391
80,3.0687982,3.6194747,6.8834567,11.864483,6.8834727,11.864505
90,2.992525,3.7460417,8.3724082,13.414636,8.3724271,13.41466
100,2.9013643,3.8871007,9.8573639,14.765114,9.8573855,14.76514
110,2.7954502,4.0407352,11.320773,15.93308,11.320797,15.933107
120,2.6750587,4.205225,12.751386,16.939844,12.751412,16.939872
130,2.5405548,4.3790672,14.142403,17.807103,14.142432,17.807131
140,2.3923552,4.5609696,15.490103,18.555056,15.490133,18.555085
150,2.2309027,4.7498307,16.792853,19.201631,16.792886,19.20166
160,2.0566489,4.9447161,18.05042,19.762301,18.050455,19.76233
170,1.8700427,5.1448344,19.26348,20.25021,19.263517,20.250239
180,1.6715235,5.3495148,20.433285,20.676417,20.433323,20.676447
190,1.4615159,5.5581881,21.561433,21.050186,21.561472,21.050216
200,1.2404278,5.7703697,22.64971,21.379258,22.649751,21.379288
210,1.0086484,5.985646,23.699989,21.670105,23.700031,21.670134
220,0.76654835,6.2036625,24.714155,21.928143,24.714199,21.928172
230,0.51447946,6.4241147,25.694066,22.157915,25.694112,22.157945
240,0.25277522,6.6467394,26.641518,22.363245,26.641564,22.363275
250,-0.01824844,6.8713089,27.558229,22.547358,27.558277,22.547388
260,-0.29829237,7.097625,28.445836,22.712985,28.445885,22.713015
270,-0.5870733,7.3255148,29.305882,22.862447,29.305932,22.862477
280,-0.88432299,7.5548267,30.13982,22.997725,30.139871,22.997754
290,-1.1897872,7.7854277,30.949017,23.120512,30.949069,23.120541
298.15,-1.4446486,7.9742389,31.591103,23.212362,31.591156,23.212391
300,-1.5032251,8.0172002,31.734751,23.232264,31.734804,23.232293
310,-1.8244081,8.2500404,32.498221,23.334236,32.498275,23.334265
320,-2.1531191,8.4838559,33.240547,23.427513,33.240602,23.427543
330,-2.489152,8.7185648,33.962778,23.513039,33.962834,23.513068
340,-2.8323109,8.9540936,34.665896,23.591632,34.665953,23.591662
350,-3.1824093,9.1903767,35.350817,23.664011,35.350875,23.66404
360,-3.5392695,9.4273552,36.018402,23.730802,36.01846,23.730832
370,-3.9027222,9.664976,36.669455,23.792558,36.669514,23.792588
380,-4.272606,9.9031912,37.30473,23.849766,37.30479,23.849796
390,-4.6487666,10.141958,37.924934,23.902856,37.924995,23.902885
400,-5.0310567,10.381236,38.530731,23.952207,38.530793,23.952237
410,-5.4193353,10.62099,39.122746,23.99816,39.122808,23.99819
420,-5.8134676,10.861189,39.701563,24.041015,39.701626,24.041045
430,-6.2133244,11.101801,40.267734,24.081042,40.267798,24.081072
440,-6.6187818,11.342801,40.821779,24.118482,40.821844,24.118512
450,-7.0297212,11.584163,41.364187,24.15355,41.364252,24.15358
460,-7.4460283,11.825865,41.89542,24.186442,41.895486,24.186471
470,-7.8675938,12.067885,42.415913,24.217331,42.415979,24.21736
480,-8.2943122,12.310205,42.926078,24.246376,42.926145,24.246405
490,-8.7260822,12.552807,43.426305,24.273719,43.426372,24.273748
500,-9.1628064,12.795674,43.916961,24.299489,43.91703,24.299519
510,-9.6043907,13.038792,44.398397,24.323805,44.398466,24.323835
520,-10.050745,13.282146,44.870944,24.346773,44.871013,24.346802
530,-10.501781,13.525723,45.334914,24.368489,45.334984,24.368519
540,-10.957415,13.769512,45.790606,24.389043,45.790677,24.389073
550,-11.417566,14.013501,46.238304,24.408516,46.238375,24.408545
560,-11.882156,14.257679,46.678276,24.426981,46.678348,24.42701
570,-12.351107,14.502037,47.110779,24.444506,47.110851,24.444536
580,-12.824347,14.746566,47.536057,24.461154,47.53613,24.461184
590,-13.301805,14.991257,47.954343,24.476982,47.954416,24.477012
600,-13.783411,15.236103,48.365858,24.492043,48.365931,24.492073
610,-14.2691,15.481096,48.770813,24.506385,48.770887,24.506415
620,-14.758807,15.726229,49.169411,24.520053,49.169486,24.520083
630,-15.252468,15.971495,49.561846,24.533089,49.561921,24.533118
640,-15.750024,16.216888,49.9483,24.54553,49.948375,24.545559
650,-16.251415,16.462404,50.328951,24.557412,50.329027,24.557442
660,-16.756584,16.708035,50.703968,24.568768,50.704044,24.568798
670,-17.265476,16.953777,51.073512,24.579628,51.073589,24.579658
680,-17.778036,17.199626,51.437738,24.590021,51.437816,24.590051
690,-18.294213,17.445576,51.796796,24.599973,51.796874,24.600003
700,-18.813955,17.691624,52.150828,24.609509,52.150906,24.609538
710,-19.337213,17.937765,52.49997,24.618651,52.500048,24.61868
720,-19.863939,18.183996,52.844354,24.62742,52.844433,24.62745
730,-20.394085,18.430312,53.184106,24.635837,53.184185,24.635866
740,-20.927606,18.676711,53.519348,24.64392,53.519428,24.643949
750,-21.464457,18.92319,53.850196,24.651686,53.850276,24.651716
760,-22.004596,19.169744,54.176763,24.659152,54.176844,24.659182
770,-22.547979,19.416372,54.499156,24.666333,54.499238,24.666363
780,-23.094565,19.66307,54.817481,24.673244,54.817562,24.673273
790,-23.644315,19.909836,55.131837,24.679896,55.131918,24.679926
800,-24.197189,20.156667,55.44232,24.686304,55.442402,24.686334
810,-24.753149,20.403561,55.749025,24.692479,55.749107,24.692509
820,-25.312157,20.650516,56.05204,24.698433,56.052123,24.698462
830,-25.874178,20.897529,56.351454,24.704175,56.351537,24.704204
840,-26.439175,21.144599,56.647349,24.709715,56.647433,24.709744
850,-27.007113,21.391723,56.939807,24.715063,56.939891,24.715093
860,-27.57796,21.638899,57.228906,24.720228,57.22899,24.720257
870,-28.15168,21.886127,57.514721,24.725217,57.514805,24.725247
880,-28.728243,22.133403,57.797325,24.730039,57.79741,24.730069
890,-29.307616,22.380727,58.07679,24.734701,58.076876,24.734731
900,-29.889769,22.628097,58.353184,24.73921,58.35327,24.73924
910,-30.47467,22.875511,58.626572,24.743573,58.626658,24.743603
920,-31.062291,23.122968,58.89702,24.747796,58.897106,24.747825
930,-31.652601,23.370466,59.164588,24.751884,59.164675,24.751914
940,-32.245573,23.618005,59.429338,24.755844,59.429425,24.755873
950,-32.841178,23.865583,59.691327,24.75968,59.691415,24.75971
