temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,3.1981096,3.1981096,0,0,0,0
10,3.1980482,3.1983227,0.027453234,0.090425259,0.027453327,0.090425559
20,3.1969042,3.2019093,0.25025728,0.76103076,0.25025808,0.76103311
30,3.191906,3.2161673,0.80871103,2.2036908,0.80871346,2.2036969
40,3.1796077,3.2476719,1.7016042,4.1522609,1.701609,4.1522714
50,3.157001,3.2998103,2.8561859,6.2843744,2.8561935,6.284389
60,3.1218911,3.3732399,4.1891462,8.3840202,4.1891568,8.3840383
70,3.0728589,3.46699,5.6304443,10.335574,5.6304578,10.335595
80,3.0090987,3.579284,7.1273168,12.088168,7.1273334,12.088191
90,2.930254,3.7080464,8.6421371,13.629351,8.6421565,13.629376
100,2.836283,3.8511942,10.149111,14.967803,10.149134,14.967829
110,2.7273554,4.006789,11.631215,16.122345,11.631239,16.122372
120,2.6037779,4.1731027,13.077706,17.115362,13.077733,17.115389
130,2.4659415,4.3486326,14.482239,17.969205,14.482268,17.969233
140,2.3142843,4.5320917,15.841481,18.704443,15.841513,18.704471
150,2.1492673,4.7223867,17.15413,19.339185,17.154163,19.339214
160,1.971357,4.9185925,18.420222,19.888974,18.420257,19.889003
170,1.7810151,5.1199271,19.640659,20.366949,19.640695,20.366978
180,1.5786913,5.325729,20.816876,20.784128,20.816915,20.784158
190,1.3648192,5.5354378,21.950625,21.149713,21.950665,21.149743
200,1.139814,5.748577,23.043815,21.471376,23.043857,21.471405
210,0.90407147,5.9647404,24.098423,21.755515,24.098467,21.755545
220,0.65796755,6.1835802,25.116421,22.007478,25.116466,22.007508
230,0.40185865,6.4047977,26.099735,22.231744,26.099781,22.231774
240,0.13608226,6.6281353,27.050221,22.432076,27.050268,22.432106
250,-0.13904226,6.8533701,27.969649,22.611645,27.969698,22.611675
260,-0.42321279,7.080308,28.859695,22.773135,28.859745,22.773165
270,-0.7161435,7.3087801,29.721939,22.918824,29.72199,22.918853
280,-1.0175639,7.5386383,30.557865,23.050652,30.557917,23.050682
290,-1.3272177,7.7697525,31.368863,23.170282,31.368916,23.170312
298.15,-1.5855064,7.9589596,32.012296,23.259754,32.012349,23.259783
300,-1.6448624,8.0020081,32.156235,23.279138,32.156289,23.279168
310,-1.9702677,8.2353035,32.921198,23.378449,32.921252,23.378479
320,-2.3032154,8.4695488,33.664888,23.469278,33.664944,23.469307
330,-2.6434981,8.7046639,34.38837,23.552544,34.388426,23.552574
340,-2.9909188,8.9405772,35.092635,23.629051,35.092693,23.629081
350,-3.3452899,9.1772247,35.778613,23.699499,35.778671,23.699528
360,-3.706433,9.414549,36.447172,23.7645,36.447231,23.76453
370,-4.074178,9.6524984,37.099125,23.824595,37.099185,23.824625
380,-4.4483627,9.8910261,37.735234,23.880259,37.735294,23.880288
390,-4.8288322,10.13009,38.356211,23.931909,38.356273,23.931939
400,-5.2154387,10.369652,38.962727,23.97992,38.962789,23.979949
410,-5.6080407,10.609678,39.55541,24.02462,39.555473,24.024649
420,-6.0065028,10.850135,40.134851,24.066303,40.134914,24.066333
430,-6.4106954,11.090994,40.701604,24.105234,40.701669,24.105263
440,-6.8204943,11.332231,41.256193,24.141645,41.256259,24.141674
450,-7.2357804,11.57382,41.799111,24.175748,41.799177,24.175777
460,-7.6564392,11.815739,42.330822,24.207731,42.330888,24.207761
470,-8.0823609,12.057968,42.851763,24.237767,42.85183,24.237796
480,-8.5134399,12.300488,43.36235,24.266007,43.362418,24.266037
490,-8.9495747,12.543282,43.862974,24.292592,43.863042,24.292621
500,-9.3906674,12.786335,44.354004,24.317647,44.354073,24.317676
510,-9.836624,13.029631,44.835793,24.341286,44.835863,24.341316
520,-10.287354,13.273156,45.308673,24.363614,45.308743,24.363643
530,-10.742769,13.516899,45.772958,24.384724,45.773028,24.384754
540,-11.202785,13.760847,46.228948,24.404704,46.229019,24.404733
550,-11.667321,14.004989,46.676928,24.423632,46.677,24.423661
560,-12.136298,14.249316,47.117168,24.44158,47.11724,24.441609
570,-12.609639,14.493818,47.549925,24.458614,47.549998,24.458643
580,-13.087272,14.738486,47.975445,24.474795,47.975518,24.474824
590,-13.569125,14.983311,48.39396,24.490178,48.394033,24.490208
600,-14.055129,15.228287,48.805693,24.504816,48.805767,24.504845
610,-14.545217,15.473405,49.210856,24.518754,49.210931,24.518784
620,-15.039325,15.71866,49.609652,24.532038,49.609727,24.532067
630,-15.537389,15.964044,50.002275,24.544706,50.002351,24.544735
640,-16.03935,16.209552,50.38891,24.556796,50.388986,24.556825
650,-16.545148,16.455178,50.769733,24.568343,50.769809,24.568372
660,-17.054726,16.700917,51.144914,24.579378,51.144991,24.579407
670,-17.568028,16.946764,51.514615,24.589931,51.514693,24.589961
680,-18.085001,17.192714,51.878992,24.60003,51.87907,24.60006
690,-18.605591,17.438763,52.238194,24.609701,52.238272,24.60973
700,-19.129748,17.684907,52.592364,24.618966,52.592442,24.618996
710,-19.657422,17.931141,52.941638,24.627849,52.941717,24.627879
720,-20.188565,18.177463,53.286149,24.63637,53.286229,24.6364
730,-20.723129,18.423867,53.626023,24.644548,53.626103,24.644578
