temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,14.7716,12.855,4.96906,4.295,14.9096,0.674055
200,54.6653,51.12,27.6196,24.88,6.93523,2.73956
298.15,81.5306,79.015,54.9457,50.95,3.18366,3.99575
300,81.9042,79.416,55.4512,51.44,3.13311,4.01123
400,97.0678,96.086,81.302,76.779,1.02184,4.52296
500,105.729,106.131,103.977,99.388,-0.378312,4.58934
600,110.989,112.545,123.756,119.345,-1.38287,4.41116
700,114.375,116.926,141.137,137.041,-2.18201,4.09632
800,116.666,120.135,156.569,152.873,-2.88762,3.69587
900,118.282,122.662,170.409,167.174,-3.57103,3.23466
1000,119.461,124.771,182.935,180.21,-4.25611,2.72499
1100,120.346,126.608,194.364,192.189,-4.94627,2.17523
1200,121.026,128.252,204.866,203.277,-5.6341,1.58909
1300,121.56,129.737,214.575,213.602,-6.30256,0.973267
1400,121.987,131.081,223.6,223.267,-6.9378,0.333033
1500,122.333,132.29,232.028,232.353,-7.52674,-0.324542
1600,122.617,133.361,239.933,240.925,-8.05611,-0.99199
