temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,42.724517,42.724517,0,0,0,0
10,42.724515,42.72453,0.0015646102,0.0064028583,0.0015646163,0.0064028813
20,42.724431,42.724822,0.01951373,0.066095477,0.019513798,0.066095702
30,42.723993,42.726316,0.077426613,0.26807064,0.077426883,0.26807161
40,42.722621,42.731194,0.21431874,0.7733624,0.21431951,0.77336523
50,42.719271,42.743355,0.48166809,1.747419,0.48166983,1.7474252
60,42.712392,42.76803,0.92730647,3.2853247,0.92730977,3.285336
70,42.700014,42.811014,1.5857153,5.4073442,1.5857208,5.4073619
80,42.679902,42.878013,2.4763852,8.0788633,2.4763935,8.0788885
90,42.64969,42.974192,3.6055761,11.229934,3.6055878,11.229967
100,42.607008,43.103914,4.9690553,14.771626,4.969071,14.771669
110,42.549567,43.270609,6.5549282,18.608855,6.5549484,18.608906
120,42.475225,43.476768,8.3461917,22.649431,8.3462167,22.649491
130,42.382025,43.723996,10.322848,26.809659,10.322878,26.809728
140,42.268221,44.013117,12.463545,31.017196,12.46358,31.017273
150,42.132279,44.344296,14.746775,35.211981,14.746816,35.212065
160,41.97288,44.717153,17.151706,39.345922,17.151752,39.346012
170,41.788905,45.130886,19.658713,43.381874,19.658765,43.381971
180,41.579426,45.584371,22.249694,47.292274,22.249752,47.292376
190,41.343686,46.076248,24.908218,51.057668,24.908282,51.057775
200,41.081086,46.604998,27.61956,54.665289,27.619629,54.665401
210,40.791163,47.169003,30.370665,58.107749,30.37074,58.107865
220,40.473578,47.766592,33.150059,61.381899,33.15014,61.382018
230,40.128101,48.39608,35.947734,64.487854,35.94782,64.487977
240,39.754592,49.055796,38.755019,67.428187,38.75511,67.428313
250,39.352994,49.744106,41.564449,70.207264,41.564545,70.207392
260,38.923317,50.459423,44.369637,72.830717,44.369738,72.830848
270,38.465633,51.200223,47.165147,75.305024,47.165254,75.305157
280,37.980062,51.965049,49.946384,77.637182,49.946495,77.637317
290,37.466766,52.752517,52.709486,79.834456,52.709602,79.834592
298.15,37.028061,53.410136,54.945748,81.530568,54.945868,81.530705
300,36.925943,53.561313,55.451233,81.904187,55.451354,81.904324
310,36.357821,54.3902,58.168963,83.853656,58.169088,83.853795
320,35.762652,55.238009,60.860493,85.689978,60.860623,85.690118
330,35.140705,56.103645,63.524062,87.420031,63.524196,87.420172
340,34.492268,56.986078,66.158264,89.050409,66.158401,89.050551
350,33.817641,57.884342,68.762003,90.587392,68.762145,90.587535
360,33.117132,58.797534,71.334449,92.036929,71.334595,92.037072
370,32.391058,59.724808,73.874999,93.40463,73.875149,93.404774
380,31.63974,60.665372,76.383241,94.695772,76.383394,94.695917
390,30.863502,61.618485,78.85893,95.915303,78.859087,95.915447
400,30.06267,62.583454,81.30196,97.06785,81.302121,97.067995
410,29.237572,63.559633,83.712344,98.157738,83.712509,98.157883
420,28.388532,64.546414,86.090195,99.189001,86.090363,99.189147
430,27.515876,65.54323,88.435708,100.1654,88.435879,100.16555
440,26.619925,66.549551,90.74915,101.09043,90.749325,101.09058
450,25.700999,67.564878,93.030844,101.96736,93.031023,101.96751
460,24.759413,68.588748,95.281163,102.79922,95.281345,102.79937
470,23.795478,69.620722,97.500518,103.58883,97.500703,103.58898
480,22.809504,70.660392,99.689351,104.33881,99.689539,104.33896
490,21.801792,71.707374,101.84813,105.05161,101.84832,105.05176
500,20.77264,72.761308,103.97734,105.72949,103.97753,105.72964
510,19.722342,73.821855,106.07748,106.37458,106.07767,106.37473
520,18.651186,74.888697,108.14906,106.98883,108.14926,106.98898
530,17.559454,75.961535,110.19261,107.57408,110.19281,107.57423
540,16.447425,77.040088,112.20863,108.13205,112.20884,108.13219
550,15.315371,78.12409,114.19767,108.66431,114.19788,108.66445
560,14.16356,79.213293,116.16024,109.17235,116.16045,109.17249
570,12.992253,80.307461,118.09686,109.65755,118.09707,109.6577
580,11.801708,81.406372,120.00804,110.12121,120.00826,110.12136
590,10.592175,82.509817,121.89431,110.56454,121.89453,110.56469
600,9.3639029,83.617599,123.75616,110.98865,123.75638,110.9888
610,8.1171319,84.72953,125.5941,111.3946,125.59432,111.39475
620,6.852099,85.845434,127.4086,111.78338,127.40883,111.78353
630,5.5690362,86.965143,129.20017,112.15591,129.2004,112.15606
640,4.2681705,88.088501,130.96927,112.51305,130.9695,112.51319
650,2.9497243,89.215356,132.71636,112.8556,132.71659,112.85575
660,1.6139152,90.345567,134.4419,113.18434,134.44213,113.18449
670,0.26095671,91.478999,136.14633,113.49997,136.14657,113.50012
680,-1.1089425,92.615525,137.8301,113.80315,137.83034,113.8033
690,-2.4955778,93.755022,139.49362,114.09452,139.49387,114.09467
700,-3.8987489,94.897377,141.13732,114.37466,141.13757,114.37481
710,-5.3182595,96.04248,142.76161,114.64413,142.76185,114.64428
720,-6.7539176,97.190226,144.36687,114.90345,144.36711,114.9036
730,-8.2055348,98.340517,145.9535,115.15311,145.95375,115.15326
740,-9.6729266,99.493258,147.52187,115.39358,147.52212,115.39372
750,-11.155913,100.64836,149.07236,115.62528,149.07262,115.62542
760,-12.654315,101.80574,150.60533,115.84863,150.60559,115.84878
770,-14.167962,102.96531,152.12113,116.06401,152.12138,116.06416
780,-15.696682,104.12699,153.62009,116.2718,153.62035,116.27195
790,-17.240309,105.29072,155.10256,116.47234,155.10283,116.47249
800,-18.798679,106.45641,156.56887,116.66596,156.56913,116.66611
810,-20.371633,107.62401,158.01932,116.85296,158.01958,116.8531
820,-21.959014,108.79345,159.45423,117.03363,159.45449,117.03378
830,-23.560667,109.96467,160.8739,117.20826,160.87417,117.20841
840,-25.176442,111.1376,162.27862,117.3771,162.27889,117.37725
850,-26.806191,112.31219,163.66868,117.5404,163.66896,117.54055
860,-28.449768,113.48839,165.04437,117.69841,165.04464,117.69856
870,-30.107031,114.66614,166.40595,117.85133,166.40622,117.85148
880,-31.77784,115.8454,167.75368,117.99939,167.75396,117.99954
890,-33.462059,117.02611,169.08783,118.14278,169.08811,118.14293
900,-35.159553,118.20824,170.40866,118.2817,170.40894,118.28185
910,-36.870189,119.39173,171.7164,118.41632,171.71668,118.41647
920,-38.593838,120.57655,173.01129,118.54682,173.01158,118.54697
930,-40.330373,121.76266,174.29358,118.67337,174.29387,118.67352
940,-42.079668,122.95001,175.56348,118.79611,175.56377,118.79626
950,-43.841602,124.13857,176.82123,118.91521,176.82152,118.91535
960,-45.616053,125.3283,178.06703,119.03079,178.06732,119.03094
970,-47.402903,126.51917,179.30111,119.14299,179.3014,119.14314
980,-49.202037,127.71115,180.52366,119.25195,180.52395,119.2521
990,-51.013339,128.9042,181.73489,119.35778,181.73518,119.35793
