temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,6.30127,5.678,2.3616,2.164,10.9768,0.197601
200,20.3752,19.332,11.0609,10.267,5.39612,0.793854
298.15,30.9396,30.097,21.3236,20.142,2.79953,1.18158
300,31.0938,30.254,21.5154,20.329,2.77597,1.18644
400,37.5092,36.692,31.4217,29.987,2.22709,1.43471
500,41.2994,40.799,40.2343,38.647,1.22639,1.58733
600,43.6413,43.538,47.9872,46.341,0.237184,1.64622
700,45.1644,45.434,54.8368,53.201,-0.59348,1.63583
800,46.2016,46.791,60.9396,59.361,-1.25971,1.57858
900,46.9361,47.792,66.4261,64.932,-1.79095,1.4941
1000,47.4736,48.55,71.4005,70.008,-2.21715,1.39253
1100,47.878,49.136,75.9451,74.664,-2.56034,1.28108
1200,48.1894,49.598,80.1249,78.96,-2.84004,1.16493
1300,48.4341,49.97,83.9922,82.945,-3.07359,1.04718
1400,48.6298,50.272,87.589,86.66,-3.26662,0.928956
1500,48.7886,50.521,90.9497,90.137,-3.42901,0.812666
