temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,18.167451,18.167451,0,0,0,0
10,18.167449,18.16746,0.0010667083,0.0040091786,0.0010667122,0.0040091927
20,18.167397,18.167637,0.012041637,0.039955003,0.012041678,0.039955137
30,18.167132,18.168513,0.046040759,0.15386231,0.046040916,0.15386284
40,18.166335,18.171242,0.12268098,0.42579364,0.12268141,0.42579516
50,18.164451,18.177815,0.26727038,0.93101108,0.26727132,0.9310143
60,18.160694,18.190694,0.4999944,1.6838985,0.49999611,1.683904
70,18.154128,18.212195,0.8295298,2.6468823,0.82953256,2.6468904
80,18.143784,18.244151,1.2545895,3.7662446,1.2545935,3.7662554
90,18.12874,18.287884,1.7682627,4.9953801,1.7682681,4.9953937
100,18.108154,18.344314,2.3616013,6.3012654,2.3616083,6.3012818
110,18.081273,18.414092,3.0256255,7.662059,3.0256342,7.6620782
120,18.047433,18.497687,3.7521161,9.0625449,3.7521266,9.062567
130,18.006047,18.595434,4.5337484,10.490521,4.5337607,10.490546
140,17.956596,18.707552,5.3639684,11.934811,5.3639827,11.934839
150,17.898625,18.834148,6.2368204,13.38455,6.2368368,13.384581
160,17.831736,18.975226,7.1468108,14.829206,7.1468292,14.829239
170,17.755582,19.130682,8.088824,16.258885,8.0888445,16.258921
180,17.669869,19.300324,9.0580829,17.664672,9.0581054,17.66471
190,17.574345,19.48387,10.050135,19.03888,10.05016,19.03892
200,17.468804,19.680975,11.060854,20.375178,11.060881,20.37522
210,17.353078,19.891231,12.086442,21.668604,12.086471,21.668647
220,17.227037,20.114191,13.12343,22.915495,13.123461,22.91554
230,17.090582,20.349377,14.168675,24.113366,14.168708,24.113412
240,16.943645,20.59629,15.219354,25.260757,15.219389,25.260805
250,16.786185,20.854422,16.272948,26.357074,16.272984,26.357123
260,16.618184,21.123262,17.327222,27.402431,17.327261,27.402482
270,16.439645,21.402303,18.380215,28.397512,18.380256,28.397563
280,16.25059,21.691048,19.430209,29.343434,19.430251,29.343486
290,16.051056,21.989013,20.475713,30.241649,20.475758,30.241702
298.15,15.880721,22.238347,21.323581,30.939573,21.323627,30.939627
300,15.841095,22.295728,21.515443,31.093842,21.51549,31.093896
310,15.62077,22.610742,22.548298,31.901859,22.548346,31.901913
320,15.390155,22.933624,23.573341,32.667644,23.573391,32.667699
330,15.149332,23.263961,24.589786,33.393193,24.589837,33.393248
340,14.89839,23.601361,25.596972,34.08051,25.597025,34.080565
350,14.637425,23.945451,26.594358,34.731582,26.594413,34.731637
360,14.366537,24.295878,27.581502,35.348354,27.581559,35.348411
370,14.08583,24.65231,28.558052,35.932717,28.55811,35.932774
380,13.795412,25.01443,29.523732,36.48649,29.523791,36.486547
390,13.495393,25.381943,30.478335,37.011417,30.478396,37.011475
400,13.185883,25.754568,31.421713,37.509163,31.421775,37.50922
410,12.866996,26.132041,32.353768,37.981307,32.353832,37.981365
420,12.538846,26.514114,33.274448,38.429347,33.274513,38.429405
430,12.201545,26.900552,34.183738,38.854697,34.183804,38.854755
440,11.855209,27.291137,35.081654,39.25869,35.081722,39.258748
450,11.49995,27.685659,35.968243,39.642581,35.968312,39.64264
460,11.135881,28.083925,36.843573,40.007551,36.843644,40.007609
470,10.763116,28.485751,37.707735,40.354706,37.707806,40.354765
480,10.381764,28.890963,38.560833,40.685086,38.560906,40.685145
490,9.9919354,29.2994,39.402989,40.999665,39.403063,40.999724
500,9.5937399,29.710907,40.234335,41.299356,40.23441,41.299415
510,9.1872843,30.12534,41.055012,41.585014,41.055088,41.585073
520,8.7726747,30.542563,41.86517,41.857441,41.865248,41.8575
530,8.3500154,30.962448,42.664966,42.117386,42.665045,42.117445
540,7.9194094,31.384872,43.45456,42.365552,43.45464,42.365611
550,7.4809577,31.809722,44.234116,42.602596,44.234197,42.602655
560,7.03476,32.236889,45.003801,42.829136,45.003883,42.829195
570,6.580914,32.666271,45.763784,43.045749,45.763867,43.045808
580,6.1195161,33.097772,46.514235,43.252975,46.514319,43.253034
590,5.6506605,33.531301,47.255323,43.451322,47.255408,43.451381
600,5.1744402,33.966771,47.987218,43.641265,47.987304,43.641324
610,4.6909463,34.4041,48.710088,43.82325,48.710175,43.82331
620,4.200268,34.843211,49.424101,43.997697,49.424189,43.997756
630,3.7024932,35.28403,50.129423,44.164997,50.129512,44.165056
640,3.197708,35.726488,50.826219,44.32552,50.826309,44.325579
650,2.6859967,36.170519,51.51465,44.479611,51.51474,44.479671
660,2.1674423,36.61606,52.194875,44.627598,52.194967,44.627658
670,1.642126,37.063052,52.867053,44.769787,52.867146,44.769846
680,1.1101276,37.511437,53.531338,44.906464,53.531431,44.906524
690,0.57152508,37.961163,54.187882,45.037903,54.187976,45.037962
700,0.026395242,38.412179,54.836834,45.164358,54.836929,45.164417
710,-0.52518677,38.864435,55.47834,45.28607,55.478436,45.286129
720,-1.0831472,39.317885,56.112545,45.403266,56.112642,45.403325
730,-1.6474138,39.772486,56.739588,45.516159,56.739686,45.516219
740,-2.2179156,40.228195,57.359608,45.624953,57.359707,45.625012
750,-2.794583,40.684972,57.97274,45.729836,57.972839,45.729895
760,-3.3773478,41.142779,58.579114,45.830989,58.579214,45.831049
770,-3.9661432,41.60158,59.178861,45.928583,59.178962,45.928642
780,-4.5609034,42.061339,59.772106,46.022778,59.772208,46.022837
790,-5.1615641,42.522024,60.358973,46.113725,60.359075,46.113785
800,-5.768062,42.983603,60.939582,46.20157,60.939685,46.201629
810,-6.3803352,43.446046,61.514051,46.286447,61.514155,46.286507
820,-6.9983229,43.909323,62.082495,46.368487,62.082599,46.368546
830,-7.6219654,44.373407,62.645026,46.447811,62.645132,46.44787
840,-8.2512041,44.83827,63.201755,46.524535,63.201861,46.524595
850,-8.8859815,45.303889,63.752789,46.59877,63.752896,46.598829
860,-9.5262412,45.770238,64.298232,46.670619,64.298339,46.670678
870,-10.171928,46.237294,64.838186,46.740182,64.838294,46.740241
880,-10.822987,46.705034,65.372751,46.807552,65.37286,46.807611
890,-11.479365,47.173438,65.902026,46.872819,65.902135,46.872879
900,-12.14101,47.642484,66.426105,46.936069,66.426215,46.936128
910,-12.80787,48.112153,66.94508,46.997381,66.945191,46.99744
920,-13.479895,48.582425,67.459044,47.056833,67.459155,47.056892
930,-14.157035,49.053283,67.968084,47.114498,67.968196,47.114557
940,-14.839241,49.52471,68.472287,47.170445,68.4724,47.170505
950,-15.526465,49.996687,68.971738,47.224742,68.971852,47.224801
960,-16.21866,50.469199,69.46652,47.277451,69.466634,47.27751
970,-16.91578,50.942231,69.956712,47.328632,69.956826,47.328691
980,-17.617779,51.415767,70.442394,47.378343,70.442509,47.378403
990,-18.324613,51.889793,70.923642,47.426639,70.923758,47.426699
1000,-19.036237,52.364295,71.400532,47.473573,71.400649,47.473633
1010,-19.752609,52.83926,71.873138,47.519194,71.873255,47.519254
1020,-20.473686,53.314675,72.34153,47.563551,72.341648,47.56361
1030,-21.199426,53.790527,72.80578,47.606688,72.805898,47.606747
1040,-21.929788,54.266805,73.265954,47.648649,73.266073,47.648709
1050,-22.664732,54.743496,73.722122,47.689477,73.722241,47.689537
1060,-23.404217,55.22059,74.174347,47.729211,74.174467,47.729271
1070,-24.148206,55.698077,74.622694,47.76789,74.622814,47.767949
1080,-24.896659,56.175945,75.067225,47.805549,75.067346,47.805609
1090,-25.649538,56.654185,75.508002,47.842225,75.508124,47.842284
1100,-26.406806,57.132786,75.945084,47.87795,75.945206,47.878009
1110,-27.168427,57.61174,76.37853,47.912757,76.378652,47.912816
1120,-27.934365,58.091038,76.808396,47.946677,76.808519,47.946736
1130,-28.704584,58.570671,77.234739,47.979738,77.234862,47.979798
1140,-29.479048,59.05063,77.657613,48.011971,77.657737,48.01203
1150,-30.257724,59.530908,78.077072,48.043401,78.077196,48.04346
1160,-31.040578,60.011496,78.493167,48.074054,78.493293,48.074114
1170,-31.827577,60.492386,78.905951,48.103957,78.906077,48.104016
1180,-32.618687,60.973573,79.315474,48.133133,79.3156,48.133192
1190,-33.413875,61.455047,79.721783,48.161605,79.72191,48.161664
1200,-34.213112,61.936802,80.124928,48.189395,80.125055,48.189454
1210,-35.016364,62.418832,80.524955,48.216525,80.525083,48.216584
1220,-35.823601,62.901131,80.921911,48.243015,80.922039,48.243074
1230,-36.634792,63.383691,81.315839,48.268885,81.315968,48.268944
1240,-37.449907,63.866506,81.706785,48.294154,81.706914,48.294214
1250,-38.268918,64.349572,82.094792,48.318841,82.094921,48.3189
1260,-39.091794,64.832881,82.479901,48.342963,82.480031,48.343022
1270,-39.918506,65.316429,82.862154,48.366536,82.862284,48.366596
1280,-40.749027,65.80021,83.241592,48.389578,83.241723,48.389637
1290,-41.583329,66.284219,83.618254,48.412104,83.618386,48.412163
1300,-42.421383,66.768451,83.99218,48.434129,83.992312,48.434188
1310,-43.263163,67.2529,84.363407,48.455667,84.36354,48.455727
1320,-44.108642,67.737562,84.731973,48.476734,84.732106,48.476793
1330,-44.957794,68.222433,85.097915,48.497342,85.098049,48.497401
1340,-45.810592,68.707508,85.461269,48.517504,85.461402,48.517563
1350,-46.667011,69.192782,85.822069,48.537234,85.822203,48.537293
1360,-47.527025,69.678251,86.18035,48.556543,86.180485,48.556602
1370,-48.39061,70.163911,86.536147,48.575443,86.536282,48.575502
1380,-49.25774,70.649759,86.889492,48.593946,86.889627,48.594005
1390,-50.128391,71.135789,87.240418,48.612062,87.240553,48.612121
1400,-51.00254,71.621999,87.588956,48.629803,87.589093,48.629862
1410,-51.880163,72.108384,87.935139,48.647177,87.935276,48.647237
1420,-52.761235,72.594941,88.278997,48.664196,88.279135,48.664256
1430,-53.645735,73.081667,88.620561,48.680869,88.620698,48.680929
1440,-54.533639,73.568557,88.959858,48.697205,88.959996,48.697265
1450,-55.424925,74.05561,89.29692,48.713214,89.297059,48.713273
1460,-56.31957,74.54282,89.631774,48.728902,89.631913,48.728962
1470,-57.217553,75.030187,89.964449,48.74428,89.964588,48.74434
1480,-58.118852,75.517705,90.294971,48.759356,90.29511,48.759415
1490,-59.023445,76.005373,90.623368,48.774136,90.623508,48.774195
1500,-59.931312,76.493187,90.949666,48.788629,90.949806,48.788688
1510,-60.842432,76.981144,91.273891,48.802842,91.274032,48.802901
1520,-61.756783,77.469243,91.59607,48.816782,91.596211,48.816841
1530,-62.674346,77.957479,91.916226,48.830456,91.916367,48.830515
1540,-63.595101,78.445851,92.234384,48.843871,92.234526,48.84393
1550,-64.519027,78.934356,92.55057,48.857033,92.550712,48.857092
1560,-65.446106,79.422991,92.864806,48.869948,92.864948,48.870007
1570,-66.376317,79.911754,93.177115,48.882623,93.177258,48.882683
1580,-67.309642,80.400642,93.487522,48.895064,93.487665,48.895123
1590,-68.246061,80.889654,93.796048,48.907275,93.796191,48.907335
1600,-69.185557,81.378787,94.102715,48.919264,94.102859,48.919323
1610,-70.128109,81.868039,94.407546,48.931034,94.40769,48.931093
1620,-71.073702,82.357407,94.710561,48.942592,94.710706,48.942651
1630,-72.022315,82.84689,95.011782,48.953942,95.011927,48.954001
1640,-72.973931,83.336485,95.31123,48.965089,95.311375,48.965149
1650,-73.928533,83.826191,95.608924,48.976039,95.60907,48.976098
1660,-74.886104,84.316006,95.904885,48.986795,95.905032,48.986854
1670,-75.846625,84.805926,96.199133,48.997362,96.19928,48.997422
1680,-76.810081,85.295952,96.491686,49.007745,96.491833,49.007805
1690,-77.776454,85.786081,96.782565,49.017948,96.782712,49.018007
1700,-78.745727,86.276311,97.071787,49.027975,97.071934,49.028034
1710,-79.717884,86.76664,97.359371,49.03783,97.359519,49.037889
1720,-80.692909,87.257067,97.645334,49.047516,97.645483,49.047575
1730,-81.670785,87.747589,97.929696,49.057038,97.929845,49.057097
1740,-82.651497,88.238207,98.212474,49.0664,98.212623,49.066459
1750,-83.635029,88.728917,98.493684,49.075604,98.493833,49.075663
1760,-84.621366,89.219718,98.773343,49.084655,98.773493,49.084714
1770,-85.610491,89.71061,99.051469,49.093555,99.05162,49.093614
1780,-86.60239,90.201589,99.328078,49.102309,99.328229,49.102368
1790,-87.597048,90.692655,99.603186,49.110918,99.603337,49.110978
1800,-88.594449,91.183807,99.876809,49.119388,99.87696,49.119447
1810,-89.594579,91.675043,100.14896,49.127719,100.14911,49.127778
1820,-90.597423,92.166361,100.41966,49.135916,100.41981,49.135975
1830,-91.602968,92.65776,100.68892,49.143981,100.68907,49.14404
1840,-92.611197,93.14924,100.95676,49.151917,100.95691,49.151976
1850,-93.622098,93.640798,101.22319,49.159727,101.22334,49.159786
1860,-94.635656,94.132434,101.48822,49.167413,101.48837,49.167473
1870,-95.651858,94.624146,101.75187,49.174979,101.75203,49.175038
1880,-96.670689,95.115933,102.01416,49.182425,102.01431,49.182485
1890,-97.692137,95.607794,102.2751,49.189756,102.27525,49.189815
1900,-98.716187,96.099728,102.53469,49.196973,102.53485,49.197032
1910,-99.742826,96.591733,102.79296,49.204079,102.79312,49.204138
1920,-100.77204,97.083809,103.04992,49.211075,103.05008,49.211135
1930,-101.80382,97.575955,103.30558,49.217965,103.30574,49.218024
1940,-102.83815,98.068168,103.55996,49.22475,103.56011,49.22481
1950,-103.87501,98.560449,103.81306,49.231433,103.81321,49.231492
1960,-104.91441,99.052797,104.0649,49.238015,104.06506,49.238074
1970,-105.95631,99.545209,104.31549,49.244498,104.31565,49.244557
1980,-107.00071,100.03769,104.56485,49.250885,104.565,49.250944
1990,-108.0476,100.53023,104.81298,49.257177,104.81314,49.257237
2000,-109.09697,101.02283,105.0599,49.263377,105.06006,49.263436
2010,-110.1488,101.51549,105.30562,49.269485,105.30577,49.269544
2020,-111.20308,102.00822,105.55015,49.275504,105.5503,49.275563
2030,-112.25979,102.501,105.7935,49.281436,105.79365,49.281495
2040,-113.31894,102.99385,106.03568,49.287281,106.03584,49.28734
2050,-114.3805,103.48675,106.27671,49.293043,106.27687,49.293102
2060,-115.44447,103.97971,106.51659,49.298722,106.51675,49.298781
2070,-116.51083,104.47272,106.75534,49.304319,106.7555,49.304379
2080,-117.57957,104.96579,106.99297,49.309838,106.99313,49.309897
2090,-118.65069,105.45892,107.22948,49.315278,107.22964,49.315337
2100,-119.72416,105.9521,107.46489,49.320642,107.46505,49.320701
2110,-120.79998,106.44533,107.6992,49.325931,107.69936,49.32599
2120,-121.87814,106.93862,107.93243,49.331145,107.93259,49.331205
2130,-122.95863,107.43195,108.16459,49.336288,108.16475,49.336347
2140,-124.04143,107.92534,108.39569,49.341359,108.39585,49.341419
2150,-125.12654,108.41878,108.62573,49.346361,108.62589,49.34642
2160,-126.21394,108.91227,108.85473,49.351295,108.85489,49.351354
2170,-127.30363,109.40581,109.08269,49.356161,109.08285,49.35622
2180,-128.39559,109.89939,109.30963,49.360961,109.30979,49.36102
2190,-129.48982,110.39303,109.53555,49.365696,109.53571,49.365755
2200,-130.5863,110.88671,109.76046,49.370367,109.76062,49.370426
