temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,3.0778129,3.0778129,0,0,0,0
10,3.0777797,3.077922,0.014230292,0.044952032,0.014230339,0.044952176
20,3.0772143,3.079695,0.12403471,0.39498035,0.12403512,0.39498169
30,3.0745468,3.0883096,0.45876164,1.473483,0.45876316,1.4734878
40,3.0669267,3.1118418,1.1228782,3.3405428,1.1228817,3.3405525
50,3.0509998,3.1565808,2.1116216,5.6465958,2.1116279,5.6466105
60,3.0238527,3.2250042,3.3525252,8.0269728,3.3525345,8.0269916
70,2.9833957,3.316596,4.7600043,10.254389,4.7600167,10.254411
80,2.9283424,3.4292396,6.261215,12.228641,6.2612306,12.228665
90,2.8580403,3.5602482,7.8023098,13.927943,7.8023284,13.927969
100,2.7722873,3.7069365,9.3464918,15.369116,9.3465131,15.369143
110,2.6711806,3.8668754,10.869953,16.583824,10.869977,16.583852
120,2.5550068,4.0379733,12.358055,17.606545,12.358081,17.606573
130,2.4241659,4.2184736,13.802367,18.46929,13.802395,18.469319
140,2.2791201,4.4069188,15.198562,19.199771,15.198592,19.1998
150,2.1203608,4.6021058,16.544967,19.821153,16.544999,19.821182
160,1.9483868,4.803042,17.841594,20.352457,17.841629,20.352486
170,1.7636914,5.0089066,19.089501,20.809171,19.089538,20.8092
180,1.5667537,5.2190189,20.290362,21.203869,20.290401,21.203899
190,1.3580343,5.4328115,21.446196,21.546762,21.446236,21.546792
200,1.1379726,5.6498094,22.559184,21.846161,22.559225,21.84619
210,0.90698596,5.8696125,23.631555,22.108854,23.631598,22.108884
220,0.66546951,6.0918827,24.665515,22.34041,24.665559,22.34044
230,0.41379658,6.3163323,25.663199,22.545419,25.663244,22.545449
240,0.15231963,6.5427154,26.626649,22.727681,26.626696,22.727711
250,-0.11862875,6.7708207,27.557798,22.890361,27.557846,22.890391
260,-0.39873473,7.0004662,28.458465,23.036105,28.458514,23.036135
270,-0.68770214,7.2314938,29.330355,23.167137,29.330406,23.167167
280,-0.98525124,7.4637662,30.175062,23.285336,30.175114,23.285366
290,-1.2911177,7.6971631,30.994072,23.392296,30.994124,23.392326
298.15,-1.5463767,7.8881398,31.643523,23.472105,31.643576,23.472135
300,-1.6050517,7.9315792,31.78877,23.489375,31.788823,23.489405
310,-1.9268164,8.1669216,32.560445,23.577735,32.560499,23.577765
320,-2.2561878,8.4031082,33.3103,23.658376,33.310355,23.658406
330,-2.5929534,8.6400663,34.039454,23.73216,34.03951,23.73219
340,-2.9369114,8.877731,34.748948,23.799833,34.749005,23.799862
350,-3.2878701,9.1160447,35.439757,23.862043,35.439815,23.862073
360,-3.6456473,9.3549556,36.112786,23.919358,36.112844,23.919388
370,-4.0100694,9.5944172,36.768883,23.972272,36.768942,23.972302
