temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,9.08512,7.802,3.06898,2.548,16.446,0.520981
200,28.2072,26.681,15.7367,14.096,5.72008,1.64074
298.15,37.784,37.106,29.0248,26.924,1.82724,2.10085
300,37.9041,37.244,29.2589,27.154,1.77247,2.10494
400,42.5281,42.561,40.8724,38.678,-0.0772746,2.19442
500,44.969,45.544,50.6509,48.523,-1.26251,2.12791
600,46.3874,47.43,58.9858,57.006,-2.19824,1.97983
700,47.2766,48.748,66.2082,64.42,-3.0183,1.78819
800,47.8682,49.74,72.5622,70.996,-3.76324,1.56623
900,48.2804,50.539,78.2255,76.902,-4.46895,1.32347
1000,48.5788,51.208,83.3286,82.262,-5.13442,1.06656
1100,48.8014,51.794,87.9695,87.171,-5.77797,0.798544
1200,48.9717,52.325,92.2234,91.701,-6.40854,0.522437
1300,49.105,52.81,96.1487,95.908,-7.01577,0.240738
1400,49.2111,53.262,99.7918,99.839,-7.60561,-0.0471642
1500,49.297,53.693,103.19,103.528,-8.18732,-0.33792
1600,49.3674,54.107,106.374,107.007,-8.75959,-0.633043
1700,49.426,54.509,109.369,110.299,-9.32513,-0.930352
1800,49.4751,54.898,112.195,113.426,-9.87816,-1.23081
1900,49.5167,55.278,114.871,116.404,-10.4224,-1.53269
2000,49.5523,55.651,117.412,119.249,-10.9588,-1.83688
2100,49.583,56.019,119.831,121.973,-11.489,-2.14246
