temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,7.53469,7.802,2.45629,2.548,-3.42615,-0.0917091
200,26.0711,26.681,13.6941,14.096,-2.28583,-0.401949
298.15,36.2808,37.106,26.2458,26.924,-2.22388,-0.678239
300,36.4121,37.244,26.4706,27.154,-2.23354,-0.683408
400,41.5256,42.561,37.7272,38.678,-2.43281,-0.950761
500,44.2693,45.544,47.3173,48.523,-2.79883,-1.20573
600,45.8774,47.43,55.5427,57.006,-3.27345,-1.46332
700,46.8907,48.748,62.6964,64.42,-3.81,-1.72362
800,47.5669,49.74,69.0048,70.996,-4.36895,-1.99125
900,48.0392,50.539,74.6362,76.902,-4.94632,-2.26584
1000,48.3815,51.208,79.7162,82.262,-5.51974,-2.54578
1100,48.6371,51.794,84.34,87.171,-6.09507,-2.83098
1200,48.833,52.325,88.5808,91.701,-6.67373,-3.12024
1300,48.9862,52.81,92.4958,95.908,-7.24061,-3.41222
1400,49.1084,53.262,96.1307,99.839,-7.79848,-3.70832
1500,49.2073,53.693,99.5223,103.528,-8.35444,-4.0057
1600,49.2884,54.107,102.701,107.007,-8.90568,-4.30626
1700,49.3558,54.509,105.691,110.299,-9.45382,-4.60809
1800,49.4124,54.898,108.514,113.426,-9.99231,-4.91234
1900,49.4604,55.278,111.187,116.404,-10.5243,-5.21743
2000,49.5014,55.651,113.725,119.249,-11.0503,-5.52437
2100,49.5368,56.019,116.141,121.973,-11.5715,-5.83231
