temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,14.592503,14.592503,0,0,0,0
10,14.592503,14.592507,0.00044710238,0.002469139,0.00044710456,0.0024691497
20,14.592466,14.592654,0.0094434691,0.034711616,0.0094435035,0.034711734
30,14.592245,14.593418,0.039090372,0.13297078,0.039090508,0.13297124
40,14.591566,14.595739,0.10431967,0.36010245,0.10432003,0.36010374
50,14.589965,14.601363,0.22797402,0.80960523,0.22797484,0.80960816
60,14.586722,14.61294,0.43696592,1.559915,0.43696748,1.5599205
70,14.580863,14.633668,0.75436551,2.6406365,0.75436817,2.6406455
80,14.571224,14.666795,1.1946468,4.0331992,1.1946509,4.0332121
90,14.556543,14.715204,1.762902,5.6866327,1.7629079,5.68665
100,14.535548,14.781177,2.4562909,7.5346921,2.4562988,7.5347139
110,14.507028,14.866318,3.2662759,9.5091175,3.2662861,9.5091436
120,14.469874,14.971573,4.1808256,11.547915,4.1808383,11.547945
130,14.423108,15.097317,5.1862226,13.599374,5.1862378,13.599408
140,14.365893,15.243467,6.2683807,15.623136,6.2683986,15.623174
150,14.29753,15.409588,7.4137165,17.589521,7.413737,17.589562
160,14.217451,15.594997,8.6096641,19.478044,8.6096873,19.478087
170,14.125206,15.798845,9.844935,21.275673,9.8449608,21.275718
180,14.020454,16.020183,11.109604,22.975159,11.109632,22.975206
190,13.902945,16.258011,12.395085,24.573576,12.395116,24.573625
200,13.772507,16.511318,13.694051,26.071116,13.694085,26.071167
210,13.629039,16.779105,15.000311,27.470146,15.000347,27.470197
220,13.472494,17.060405,16.308684,28.77447,16.308723,28.774523
230,13.302873,17.354294,17.614873,29.988792,17.614914,29.988846
240,13.120216,17.659898,18.915341,31.118313,18.915385,31.118367
250,12.924595,17.976396,20.207202,32.168444,20.207248,32.168499
260,12.716108,18.30302,21.488122,33.144609,21.48817,33.144664
270,12.494875,18.639059,22.756236,34.052108,22.756285,34.052164
280,12.261031,18.983851,24.010068,34.89603,24.01012,34.896087
290,12.014725,19.336784,25.248477,35.681197,25.248531,35.681254
298.15,11.804879,19.630053,26.245761,36.280806,26.245816,36.280863
300,11.756116,19.697294,26.470592,36.412139,26.470648,36.412196
310,11.48537,20.06486,27.675774,37.093076,27.675831,37.093133
320,11.202659,20.439002,28.863572,37.727923,28.863631,37.727981
330,10.908158,20.819277,30.033695,38.320298,30.033756,38.320356
340,10.602044,21.205277,31.185979,38.873529,31.186042,38.873587
350,10.284498,21.596627,32.32037,39.390676,32.320435,39.390735
360,9.9556964,21.99298,33.436898,39.874548,33.436965,39.874606
370,9.6158189,22.394016,34.535667,40.327715,34.535735,40.327774
380,9.2650418,22.79944,35.616837,40.752534,35.616906,40.752593
390,8.9035401,23.208979,36.680613,41.151161,36.680684,41.15122
400,8.5314867,23.622382,37.727239,41.52557,37.727311,41.525629
410,8.1490516,24.039416,38.756986,41.877567,38.75706,41.877626
420,7.7564022,24.459864,39.770148,42.208807,39.770223,42.208866
430,7.3537029,24.883528,40.767035,42.520804,40.767112,42.520863
440,6.9411147,25.310221,41.747969,42.814946,41.748047,42.815005
450,6.5187956,25.739772,42.71328,43.092508,42.713359,43.092567
460,6.0869001,26.17202,43.663304,43.354656,43.663384,43.354715
470,5.6455794,26.606817,44.598378,43.602462,44.59846,43.602522
480,5.1949812,27.044024,45.51884,43.836914,45.518923,43.836973
490,4.7352501,27.483514,46.425027,44.058916,46.425112,44.058975
500,4.2665271,27.925164,47.317274,44.269302,47.317359,44.269361
510,3.78895,28.368863,48.195909,44.468841,48.195996,44.4689
520,3.3026533,28.814507,49.061257,44.658242,49.061345,44.658301
530,2.8077681,29.261997,49.913639,44.838157,49.913728,44.838216
540,2.3044227,29.711241,50.753367,45.00919,50.753457,45.00925
550,1.7927419,30.162153,51.580747,45.171901,51.580838,45.17196
560,1.2728479,30.614653,52.39608,45.326804,52.396172,45.326863
570,0.74485952,31.068664,53.199658,45.474378,53.199751,45.474437
580,0.20889296,31.524117,53.991766,45.615066,53.99186,45.615126
590,-0.3349385,31.980944,54.772683,45.74928,54.772778,45.749339
600,-0.88652429,32.439083,55.542678,45.877401,55.542774,45.87746
610,-1.4457565,32.898473,56.302016,45.999784,56.302113,45.999843
