temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,13.558614,13.558614,0,0,0,0
10,13.558613,13.55862,0.00067356445,0.0034548177,0.00067356755,0.0034548319
20,13.558564,13.558809,0.012251896,0.043896687,0.01225194,0.043896836
30,13.558283,13.559773,0.049674182,0.1684104,0.049674354,0.16841098
40,13.557419,13.562743,0.13309349,0.46388071,0.13309396,0.46388238
50,13.555366,13.570022,0.29311342,1.0492217,0.29311447,1.0492255
60,13.551189,13.58498,0.56318206,2.0078082,0.56318407,2.0078152
70,13.543649,13.611471,0.96888324,3.352166,0.96888663,3.3521771
80,13.531315,13.653154,1.5229915,5.0348428,1.5229967,5.0348586
90,13.512692,13.713028,2.2259606,6.9754834,2.2259679,6.9755039
100,13.486328,13.793226,3.068981,9.0851181,3.0689908,9.0851434
110,13.450894,13.895019,4.0375013,11.281672,4.0375136,11.281701
120,13.405218,14.018922,5.1142,13.497305,5.1142151,13.497339
130,13.348309,14.164854,6.2811174,15.68025,6.2811353,15.680288
140,13.279352,14.332293,7.5210086,17.793646,7.5210294,17.793686
150,13.197698,14.520413,8.8180975,19.813115,8.8181212,19.813158
160,13.102846,14.728193,10.158418,21.724073,10.158444,21.724119
170,12.994426,14.954508,11.529892,23.519263,11.529921,23.51931
180,12.872179,15.198186,12.922258,25.196685,12.92229,25.196735
190,12.73594,15.458054,14.326915,26.757978,14.32695,26.758028
200,12.585624,15.732971,15.736738,28.207174,15.736775,28.207226
210,12.421208,16.021842,17.145878,29.549795,17.145918,29.549848
220,12.242724,16.323633,18.549585,30.792195,18.549627,30.792249
230,12.050247,16.637375,19.944032,31.9411,19.944077,31.941155
240,11.843885,16.962166,21.326172,33.003294,21.326219,33.00335
250,11.623773,17.297174,22.693603,33.985415,22.693653,33.985471
260,11.390068,17.641629,24.044464,34.893816,24.044516,34.893873
270,11.142944,17.994824,25.377336,35.734496,25.37739,35.734553
280,10.882585,18.356111,26.691167,36.513053,26.691223,36.51311
290,10.609186,18.724896,27.985205,37.234675,27.985263,37.234733
298.15,10.376861,19.030619,29.024848,37.784016,29.024907,37.784073
300,10.322948,19.100631,29.258943,37.90414,29.259003,37.904197
310,10.024076,19.482819,30.512074,38.525828,30.512136,38.525887
320,9.7127761,19.871002,31.744456,39.103749,31.744519,39.103807
330,9.3892562,20.26476,32.956073,39.641556,32.956139,39.641614
340,9.0537236,20.66371,34.14702,40.142579,34.147088,40.142638
350,8.7063841,21.0675,35.317473,40.60985,35.317542,40.609909
360,8.3474416,21.475804,36.467674,41.046125,36.467744,41.046184
370,7.9770972,21.888327,37.597919,41.453911,37.597991,41.45397
380,7.5955486,22.304795,38.708543,41.835486,38.708617,41.835545
390,7.2029905,22.724956,39.799913,42.192924,39.799988,42.192983
400,6.7996133,23.148579,40.872415,42.528111,40.872492,42.52817
410,6.3856037,23.57545,41.926455,42.842766,41.926533,42.842826
420,5.9611444,24.005371,42.962446,43.138455,42.962525,43.138514
430,5.5264136,24.438161,43.980808,43.416603,43.980889,43.416662
440,5.0815856,24.873649,44.981963,43.678514,44.982046,43.678573
450,4.6268303,25.311681,45.966335,43.925377,45.966419,43.925437
460,4.1623134,25.75211,46.934341,44.158281,46.934426,44.15834
470,3.6881966,26.194803,47.886397,44.37822,47.886484,44.37828
480,3.2046373,26.639635,48.822911,44.586107,48.822999,44.586167
490,2.7117888,27.086488,49.744284,44.782778,49.744373,44.782838
500,2.2098007,27.535255,50.650909,44.969001,50.650999,44.96906
510,1.6988185,27.985836,51.543171,45.14548,51.543262,45.14554
520,1.178984,28.438135,52.421444,45.312865,52.421536,45.312925
530,0.65043506,28.892065,53.286094,45.471753,53.286187,45.471813
540,0.1133063,29.347543,54.137476,45.622695,54.137571,45.622754
550,-0.43227139,29.804494,54.975937,45.766198,54.976032,45.766257
560,-0.98617048,30.262844,55.801812,45.902731,55.801908,45.902791
570,-1.5482668,30.722527,56.615427,46.032729,56.615525,46.032789
580,-2.1184392,31.183478,57.417099,46.156593,57.417198,46.156652
590,-2.6965699,31.645639,58.207134,46.274693,58.207234,46.274753
600,-3.2825441,32.108954,58.98583,46.387376,58.985931,46.387436
610,-3.8762497,32.57337,59.753475,46.494961,59.753576,46.49502
620,-4.4775777,33.038837,60.510347,46.597744,60.510449,46.597803
630,-5.0864216,33.50531,61.256716,46.696002,61.25682,46.696062
640,-5.7026779,33.972743,61.992845,46.789992,61.99295,46.790052
