temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,5.4877821,5.4877821,0,0,0,0
10,5.4877036,5.488063,0.035937278,0.12257422,0.035937403,0.12257463
20,5.4860582,5.4936804,0.38111113,1.2970433,0.38111245,1.2970478
30,5.4776524,5.5209059,1.441782,4.4765943,1.4417867,4.4766078
40,5.4543676,5.5883537,3.3496511,9.1854438,3.3496612,9.1854684
50,5.4083025,5.706405,5.9620493,14.441566,5.962066,14.441601
60,5.3335492,5.8764694,9.0486708,19.496652,9.0486945,19.496695
70,5.2264553,6.0944133,12.3994,23.983188,12.399431,23.983236
80,5.0852056,6.3538918,15.858578,27.801549,15.858615,27.8016
90,4.9092711,6.6483263,19.322835,30.986028,19.322879,30.986082
100,4.6989478,6.971779,22.728312,33.620675,22.728361,33.620731
110,4.4550258,7.3192168,26.0381,35.798085,26.038155,35.798142
120,4.1785708,7.6864995,29.232739,37.602671,29.232799,37.602729
130,3.8707839,8.0702663,32.303711,39.105646,32.303775,39.105704
140,3.5329153,8.4678014,35.249186,40.364949,35.249255,40.365008
150,3.1662116,8.8769086,38.071313,41.426931,38.071386,41.426989
160,2.7718856,9.2958059,40.774502,42.328416,40.774578,42.328475
170,2.3510994,9.72304,43.364356,43.098631,43.364437,43.09869
180,1.9049558,10.157419,45.847017,43.760823,45.847101,43.760882
190,1.4344955,10.597959,48.228754,44.333557,48.228841,44.333616
200,0.94069661,11.043842,50.515726,44.831736,50.515816,44.831796
210,0.42447707,11.494385,52.713848,45.267395,52.713941,45.267454
220,-0.11330288,11.949014,54.828714,45.650307,54.828809,45.650366
230,-0.67183719,12.407242,56.865563,45.988461,56.865661,45.98852
240,-1.2503704,12.868656,58.829277,46.288424,58.829378,46.288483
250,-1.8481941,13.332902,60.724383,46.555629,60.724486,46.555689
260,-2.4646434,13.799675,62.55507,46.794595,62.555175,46.794655
270,-3.0990937,14.268712,64.325207,47.009102,64.325315,47.009161
280,-3.7509576,14.739786,66.03837,47.202326,66.038479,47.202385
290,-4.4196822,15.212697,67.697858,47.376955,67.69797,47.377014
298.15,-4.9768003,15.599356,69.012767,47.507118,69.012881,47.507178
300,-5.1047461,15.687271,69.306722,47.53527,69.306836,47.535329
310,-5.8056573,16.163354,70.867779,47.679216,70.867895,47.679276
320,-6.521951,16.640813,72.383636,47.810463,72.383754,47.810522
330,-7.2531874,17.119526,73.856707,47.930445,73.856827,47.930505
340,-7.99895,17.599388,75.28923,48.040404,75.289351,48.040463
350,-8.7588438,18.080304,76.68328,48.141414,76.683403,48.141473
360,-9.5324938,18.56219,78.040788,48.234413,78.040912,48.234472
