temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,4.8816986,4.8816986,0,0,0,0
10,4.8815978,4.8820533,0.045554126,0.15352028,0.045554282,0.1535208
20,4.8795251,4.8891478,0.48113192,1.6494507,0.48113359,1.6494563
30,4.8688384,4.9240094,1.8390312,5.7334623,1.8390372,5.7334795
40,4.8391592,5.0094955,4.2584071,11.509266,4.2584199,11.509296
50,4.7810041,5.1548092,7.4761018,17.49635,7.4761224,17.49639
60,4.6881177,5.3572788,11.152684,22.86019,11.152712,22.860237
70,4.5573079,5.6090781,15.025288,27.352317,15.025324,27.352368
80,4.3875297,5.9015228,18.924914,31.006437,18.924957,31.006491
90,4.1790525,6.2268362,22.753152,33.949548,22.753201,33.949604
100,3.9328835,6.5786059,26.457223,36.319642,26.457279,36.319699
110,3.6504076,6.9517241,30.011969,38.237453,30.01203,38.237511
120,3.333173,7.3421748,33.408348,39.800496,33.408414,39.800555
130,2.9827687,7.7468072,36.64645,41.084923,36.646521,41.084982
140,2.600755,8.1631417,39.731333,42.149429,39.731408,42.149488
150,2.1886276,8.5892142,42.670577,43.039121,42.670657,43.03918
160,1.7478,9.0234581,45.472863,43.788754,45.472946,43.788813
170,1.279597,9.4646128,48.147152,44.425244,48.147239,44.425303
180,0.78525432,9.9116563,50.702233,44.969585,50.702323,44.969644
190,0.26592175,10.363753,53.146479,45.438274,53.146572,45.438333
200,-0.277332,10.820213,55.487727,45.84438,55.487824,45.844439
210,-0.84351374,11.280467,57.73324,46.198334,57.73334,46.198393
220,-1.4317,11.744034,59.889702,46.50853,59.889804,46.508589
230,-2.0410314,12.210514,61.963242,46.781769,61.963347,46.781829
240,-2.6707072,12.679565,63.959469,47.023607,63.959576,47.023666
250,-3.3199802,13.150897,65.883509,47.238607,65.883619,47.238666
260,-3.9881524,13.624261,67.74005,47.430546,67.740162,47.430606
270,-4.6745706,14.099442,69.533378,47.602568,69.533493,47.602627
280,-5.3786224,14.576254,71.267417,47.757305,71.267534,47.757364
290,-6.0997333,15.054538,72.945761,47.896973,72.94588,47.897032
298.15,-6.6996798,15.445327,74.274718,48.000968,74.274838,48.001027
300,-6.837363,15.53415,74.57171,48.023447,74.57183,48.023507
310,-7.591003,16.014968,76.148293,48.138325,76.148415,48.138384
320,-8.3601736,16.496882,77.6783,48.242968,77.678424,48.243027
330,-9.1444223,16.979797,79.164301,48.338548,79.164427,48.338607
340,-9.9433209,17.463626,80.608669,48.426074,80.608797,48.426133
350,-10.756464,17.948295,82.013597,48.50642,82.013726,48.506479
360,-11.583468,18.433733,83.381116,48.580344,83.381247,48.580404
370,-12.423968,18.919882,84.713109,48.64851,84.713242,48.648569
380,-13.277618,19.406686,86.011327,48.711496,86.011461,48.711555
390,-14.144088,19.894097,87.277395,48.769811,87.277531,48.76987
400,-15.023064,20.382069,88.51283,48.823903,88.512968,48.823962
410,-15.914247,20.870562,89.719045,48.874168,89.719184,48.874227
420,-16.817351,21.35954,90.897361,48.920958,90.897502,48.921017
430,-17.732105,21.848971,92.049013,48.964583,92.049155,48.964642
440,-18.658247,22.338822,93.175157,49.005322,93.1753,49.005381
450,-19.595527,22.829068,94.276878,49.043423,94.277022,49.043482
460,-20.543706,23.319683,95.355194,49.079107,95.355339,49.079166
470,-21.502556,23.810643,96.411061,49.112574,96.411208,49.112633
480,-22.471856,24.301927,97.445381,49.144003,97.44553,49.144062
490,-23.451395,24.793517,98.459003,49.173556,98.459152,49.173615
500,-24.440969,25.285393,99.452724,49.201379,99.452875,49.201438
510,-25.440385,25.777539,100.4273,49.227603,100.42745,49.227662
520,-26.449454,26.26994,101.38345,49.252349,101.3836,49.252408
530,-27.467995,26.762581,102.32184,49.275725,102.322,49.275784
540,-28.495834,27.25545,103.24312,49.29783,103.24327,49.297889
550,-29.532802,27.748534,104.14788,49.318754,104.14804,49.318813
560,-30.578738,28.241822,105.03671,49.33858,105.03687,49.338639
570,-31.633485,28.735302,105.91015,49.357383,105.91031,49.357443
580,-32.696892,29.228966,106.76872,49.375233,106.76888,49.375292
590,-33.768812,29.722804,107.61291,49.392191,107.61307,49.39225
600,-34.849104,30.216807,108.44318,49.408317,108.44335,49.408376
610,-35.937631,30.710968,109.26,49.423664,109.26016,49.423723
620,-37.03426,31.205278,110.06377,49.438282,110.06393,49.438341
630,-38.138864,31.699731,110.85491,49.452215,110.85508,49.452274
640,-39.251318,32.19432,111.63381,49.465505,111.63397,49.465564
650,-40.371501,32.689039,112.40083,49.478192,112.401,49.478251
660,-41.499296,33.183882,113.15633,49.490312,113.1565,49.490371
670,-42.63459,33.678844,113.90065,49.501897,113.90081,49.501956
680,-43.777273,34.173918,114.6341,49.512978,114.63427,49.513038
690,-44.927237,34.669102,115.35701,49.523585,115.35718,49.523645
700,-46.084379,35.164389,116.06967,49.533744,116.06984,49.533804
710,-47.248597,35.659775,116.77235,49.54348,116.77253,49.543539
720,-48.419793,36.155257,117.46535,49.552816,117.46552,49.552875
730,-49.597872,36.65083,118.14891,49.561773,118.14908,49.561832
740,-50.782741,37.146491,118.82329,49.570372,118.82346,49.570431
750,-51.974308,37.642236,119.48873,49.578631,119.4889,49.57869
760,-53.172486,38.138063,120.14546,49.586569,120.14563,49.586628
770,-54.377189,38.633967,120.79371,49.594201,120.79389,49.59426
780,-55.588333,39.129946,121.43369,49.601543,121.43387,49.601602
790,-56.805836,39.625997,122.06561,49.60861,122.06579,49.608669
800,-58.029619,40.122117,122.68967,49.615415,122.68985,49.615474
810,-59.259604,40.618304,123.30606,49.62197,123.30624,49.622029
820,-60.495715,41.114556,123.91496,49.628289,123.91514,49.628348
830,-61.737879,41.610869,124.51656,49.634382,124.51674,49.634441
840,-62.986023,42.107243,125.11103,49.640259,125.11121,49.640318
850,-64.240076,42.603674,125.69853,49.645932,125.69871,49.645991
860,-65.499971,43.100161,126.27922,49.651408,126.27941,49.651467
870,-66.765639,43.596701,126.85326,49.656698,126.85345,49.656757
880,-68.037014,44.093294,127.4208,49.661809,127.42099,49.661868
890,-69.314034,44.589937,127.98199,49.66675,127.98217,49.666809
900,-70.596633,45.086628,128.53696,49.671528,128.53714,49.671587
910,-71.884752,45.583367,129.08585,49.676149,129.08603,49.676208
920,-73.178331,46.080151,129.62878,49.680622,129.62897,49.680681
930,-74.477309,46.576979,130.1659,49.684951,130.16609,49.68501
940,-75.78163,47.073849,130.69732,49.689144,130.69751,49.689203
950,-77.091236,47.570761,131.22316,49.693205,131.22334,49.693264
960,-78.406074,48.067713,131.74353,49.697141,131.74372,49.6972
970,-79.726089,48.564704,132.25855,49.700956,132.25874,49.701015
980,-81.051228,49.061732,132.76833,49.704655,132.76852,49.704715
990,-82.381439,49.558796,133.27296,49.708244,133.27316,49.708303
1000,-83.71667,50.055896,133.77257,49.711725,133.77276,49.711784
1010,-85.056874,50.553031,134.26723,49.715104,134.26742,49.715163
1020,-86.401999,51.050198,134.75706,49.718384,134.75725,49.718443
1030,-87.751999,51.547398,135.24213,49.72157,135.24233,49.721629
1040,-89.106826,52.044629,135.72255,49.724664,135.72275,49.724723
1050,-90.466435,52.541891,136.19841,49.727671,136.1986,49.72773
1060,-91.830779,53.039182,136.66978,49.730593,136.66997,49.730653
1070,-93.199815,53.536503,137.13675,49.733434,137.13694,49.733494
1080,-94.5735,54.033851,137.5994,49.736197,137.59959,49.736256
1090,-95.951789,54.531226,138.05781,49.738884,138.05801,49.738944
1100,-97.334642,55.028628,138.51206,49.741499,138.51226,49.741558
