temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,8.6761293,8.6761293,0,0,0,0
10,8.6761152,8.6761886,0.0073443311,0.027771776,0.0073443584,0.027771872
20,8.6757628,8.6773749,0.080606858,0.26700204,0.080607132,0.26700295
30,8.673983,8.6833084,0.3108483,1.0385816,0.31084936,1.0385852
40,8.6686608,8.700859,0.8049547,2.6131193,0.8049574,2.6131278
50,8.6567755,8.7382535,1.6295597,4.9858359,1.629565,4.9858509
60,8.6349324,8.8025661,2.7938951,7.9535592,2.7939037,7.9535814
70,8.5998738,8.8984004,4.2646662,11.245108,4.2646788,11.245137
80,8.5488016,9.027723,5.9865182,14.615513,5.9865351,14.615548
90,8.4795102,9.1903745,7.8984924,17.887462,7.8985137,17.887502
100,8.3903879,9.3847793,9.9439136,20.953336,9.9439394,20.953381
110,8.2803482,9.6085735,12.074775,23.76008,12.074805,23.760128
120,8.1487365,9.8590603,14.252698,26.291378,14.252733,26.291429
130,7.9952365,10.133501,16.448188,28.553063,16.448227,28.553116
140,7.8197882,10.429281,18.639237,30.562878,18.63928,30.562932
150,7.6225205,10.743996,20.809836,32.343932,20.809882,32.343987
160,7.4036979,11.07548,22.948636,33.920808,22.948685,33.920864
170,7.1636801,11.421811,25.047831,35.317402,25.047884,35.317459
180,6.9028907,11.781301,27.102278,36.555833,27.102334,36.55589
190,6.6217944,12.152467,29.108805,37.655999,29.108865,37.656057
200,6.3208801,12.534019,31.065692,38.635484,31.065755,38.635542
210,6.0006483,12.924826,32.972276,39.509656,32.972341,39.509714
220,5.6616021,13.323905,34.828651,40.291857,34.82872,40.291916
230,5.3042406,13.730395,36.635456,40.993626,36.635527,40.993685
240,4.9290548,14.143543,38.393701,41.624924,38.393775,41.624983
250,4.5365242,14.562688,40.104654,42.194343,40.10473,42.194402
260,4.1271146,14.987249,41.769746,42.709298,41.769824,42.709357
270,3.7012771,15.416714,43.390506,43.176197,43.390586,43.176256
280,3.259447,15.850631,44.968514,43.600586,44.968596,43.600645
290,2.802044,16.2886,46.505365,43.987271,46.505449,43.98733
298.15,2.4180232,16.648293,47.728559,44.27745,47.728645,44.27751
300,2.3294716,16.730265,48.002643,44.34043,48.00273,44.340489
310,1.8421178,17.175309,49.461906,44.663702,49.461995,44.663761
320,1.3403552,17.62345,50.88467,44.960262,50.884761,44.960322
330,0.82454119,18.074434,52.272403,45.232891,52.272496,45.232951
340,0.29501913,18.528036,53.62652,45.484027,53.626614,45.484087
350,-0.24788169,18.98405,54.948377,45.715815,54.948473,45.715874
360,-0.80384522,19.442294,56.239276,45.930146,56.239373,45.930205
370,-1.3725681,19.902601,57.500456,46.128691,57.500555,46.128751
380,-1.9537592,20.36482,58.733104,46.312932,58.733204,46.312991
390,-2.5471389,20.828816,59.938346,46.484182,59.938448,46.484242
400,-3.1524384,21.294464,61.117257,46.643614,61.117361,46.643673
410,-3.7693997,21.761652,62.270859,46.79227,62.270964,46.792329
420,-4.3977745,22.230277,63.400123,46.931084,63.400229,46.931143
430,-5.0373241,22.700244,64.505972,47.060892,64.50608,47.060952
440,-5.6878188,23.171467,65.589287,47.182446,65.589396,47.182505
450,-6.3490375,23.643868,66.650901,47.29642,66.651011,47.296479
460,-7.0207671,24.117373,67.691608,47.403423,67.69172,47.403483
470,-7.7028025,24.591915,68.712164,47.504005,68.712278,47.504064
480,-8.3949456,25.067433,69.713289,47.598663,69.713403,47.598722
490,-9.0970058,25.54387,70.695664,47.687848,70.69578,47.687907
500,-9.8087986,26.021173,71.659943,47.771968,71.66006,47.772028
510,-10.530146,26.499294,72.606745,47.851397,72.606863,47.851456
520,-11.260877,26.978186,73.536661,47.926472,73.53678,47.926531
530,-12.000825,27.45781,74.450254,47.997503,74.450374,47.997562
540,-12.74983,27.938124,75.348062,48.064773,75.348184,48.064832
550,-13.507736,28.419093,76.230598,48.128539,76.23072,48.128599
560,-14.274392,28.900684,77.09835,48.18904,77.098474,48.189099
570,-15.049655,29.382864,77.951787,48.246491,77.951912,48.24655
580,-15.833382,29.865604,78.791355,48.301094,78.791481,48.301153
590,-16.625437,30.348877,79.617481,48.353031,79.617608,48.35309
600,-17.425688,30.832656,80.430574,48.402472,80.430702,48.402531
610,-18.234006,31.316919,81.231025,48.449573,81.231153,48.449633
620,-19.050268,31.801641,82.019207,48.494479,82.019337,48.494538
630,-19.874351,32.286801,82.79548,48.537323,82.79561,48.537382
640,-20.706139,32.772381,83.560186,48.578228,83.560318,48.578287
650,-21.545517,33.25836,84.313657,48.617309,84.313789,48.617368
660,-22.392375,33.744721,85.056207,48.654672,85.05634,48.654731
670,-23.246606,34.231448,85.78814,48.690415,85.788274,48.690474
680,-24.108104,34.718524,86.509747,48.724631,86.509882,48.72469
690,-24.976767,35.205936,87.221309,48.757404,87.221445,48.757464
700,-25.852497,35.693668,87.923093,48.788815,87.92323,48.788874
710,-26.735198,36.181708,88.615359,48.818936,88.615497,48.818996
720,-27.624774,36.670042,89.298356,48.847839,89.298494,48.847898
730,-28.521135,37.158661,89.972322,48.875586,89.972461,48.875645
740,-29.424191,37.647551,90.637488,48.902238,90.637628,48.902297
750,-30.333856,38.136702,91.294077,48.927852,91.294218,48.927912
760,-31.250044,38.626104,91.942301,48.952482,91.942443,48.952541
770,-32.172675,39.115748,92.582367,48.976176,92.58251,48.976235
780,-33.101665,39.605625,93.214475,48.998981,93.214618,48.99904
790,-34.036938,40.095725,93.838814,49.02094,93.838958,49.021
800,-34.978416,40.586041,94.455572,49.042096,94.455716,49.042155
810,-35.926025,41.076565,95.064925,49.062486,95.065071,49.062546
820,-36.879691,41.567288,95.667048,49.082147,95.667194,49.082207
830,-37.839342,42.058205,96.262105,49.101114,96.262252,49.101173
840,-38.80491,42.549308,96.85026,49.119417,96.850407,49.119476
850,-39.776325,43.040591,97.431666,49.137088,97.431815,49.137147
860,-40.753521,43.532048,98.006476,49.154156,98.006625,49.154215
870,-41.736433,44.023673,98.574834,49.170647,98.574984,49.170706
880,-42.724997,44.515459,99.136882,49.186587,99.137032,49.186646
890,-43.71915,45.007403,99.692756,49.202,99.692907,49.202059
900,-44.718832,45.499498,100.24259,49.216909,100.24274,49.216969
910,-45.723982,45.991739,100.78651,49.231336,100.78666,49.231396
920,-46.734543,46.484123,101.32464,49.245302,101.32479,49.245361
930,-47.750456,46.976644,101.8571,49.258825,101.85725,49.258884
