temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,7.6086015,7.6086015,0,0,0,0
10,7.6085812,7.6086828,0.010155138,0.037122558,0.010155174,0.037122684
20,7.6081098,7.6102578,0.10740088,0.35630059,0.10740124,0.35630181
30,7.6057222,7.618309,0.41956106,1.4229579,0.4195625,1.4229628
40,7.5984778,7.642518,1.1010055,3.610104,1.1010092,3.6101156
50,7.5821857,7.6938744,2.2337737,6.7961671,2.2337809,6.796187
60,7.5523503,7.7803599,3.8001592,10.558625,3.8001708,10.558654
70,7.5049957,7.9055421,5.7220916,14.474508,5.722108,14.474544
80,7.4370425,8.0693714,7.9041106,18.251396,7.9041321,18.251437
90,7.3463423,8.2695679,10.258062,21.730788,10.258089,21.730834
100,7.231549,8.5027779,12.712289,24.849231,12.71232,24.84928
110,7.0919449,8.7653227,15.212526,27.599657,15.212562,27.599709
120,6.9272774,9.0536165,17.719493,30.004129,17.719534,30.004183
130,6.7376252,9.3643672,20.205708,32.097256,20.205753,32.097311
140,6.5232952,9.6946506,22.652539,33.917019,22.652588,33.917075
150,6.2847467,10.041919,25.047815,35.500116,25.047869,35.500173
160,6.0225362,10.403976,27.383996,36.879888,27.384053,36.879945
170,5.7372783,10.778937,29.656817,38.085614,29.656877,38.085672
180,5.4296179,11.165192,31.864302,39.142522,31.864366,39.14258
190,5.1002114,11.561363,34.006063,40.072102,34.006131,40.07216
200,4.7497135,11.966271,36.082787,40.892557,36.082857,40.892616
210,4.3787678,12.378902,38.095879,41.61926,38.095952,41.619319
220,3.9880018,12.798387,40.047206,42.265184,40.047281,42.265243
230,3.5780224,13.223973,41.938918,42.841286,41.938996,42.841346
240,3.1494145,13.655011,43.773319,43.356838,43.7734,43.356897
250,2.7027392,14.090935,45.552782,43.819698,45.552865,43.819758
260,2.238534,14.531252,47.279684,44.236551,47.279769,44.236611
270,1.7573129,14.975532,48.956365,44.613097,48.956453,44.613156
280,1.2595665,15.423396,50.585104,44.954211,50.585194,44.95427
290,0.7457633,15.874512,52.168098,45.264079,52.16819,45.264138
298.15,0.31544858,16.244371,53.425867,45.496028,53.425961,45.496088
300,0.21635004,16.328585,53.707451,45.546304,53.707545,45.546364
310,-0.32824695,16.785356,55.205171,45.804001,55.205267,45.80406
320,-0.88762097,17.244593,56.663167,46.039867,56.663265,46.039926
330,-1.4613839,17.706088,58.08325,46.256249,58.083349,46.256308
340,-2.0491653,18.169659,59.467131,46.455193,59.467233,46.455252
350,-2.6506113,18.63514,60.816433,46.638489,60.816536,46.638548
360,-3.2653838,19.102382,62.132683,46.807707,62.132788,46.807767
370,-3.8931596,19.571252,63.417329,46.96423,63.417435,46.96429
380,-4.5336296,20.041629,64.671732,47.109277,64.67184,47.109336
390,-5.1864978,20.513403,65.897181,47.243926,65.897291,47.243985
400,-5.8514807,20.986476,67.094891,47.369134,67.095002,47.369194
410,-6.5283069,21.460757,68.26601,47.485752,68.266122,47.485812
420,-7.2167159,21.936165,69.41162,47.594539,69.411734,47.594598
430,-7.9164577,22.412624,70.532748,47.696171,70.532863,47.69623
440,-8.6272925,22.890066,71.630361,47.791256,71.630478,47.791315
450,-9.3489896,23.368429,72.705375,47.880337,72.705493,47.880397
460,-10.081328,23.847655,73.758657,47.963905,73.758776,47.963965
470,-10.824093,24.32769,74.791028,48.042402,74.791149,48.042461
480,-11.577081,24.808487,75.803267,48.116224,75.803389,48.116283
490,-12.340094,25.29,76.79611,48.185733,76.796234,48.185792
500,-13.112941,25.772188,77.770259,48.251256,77.770383,48.251315
510,-13.895439,26.255013,78.726376,48.313088,78.726502,48.313147
520,-14.68741,26.738439,79.665095,48.3715,79.665221,48.371559
530,-15.488685,27.222433,80.587014,48.426738,80.587142,48.426797
540,-16.299097,27.706964,81.492704,48.479025,81.492833,48.479084
550,-17.118487,28.192004,82.38271,48.528566,82.38284,48.528626
560,-17.9467,28.677527,83.257548,48.57555,83.257679,48.57561
570,-18.783589,29.163507,84.117711,48.620148,84.117844,48.620208
580,-19.629007,29.649922,84.963671,48.662518,84.963804,48.662577
590,-20.482816,30.13675,85.795875,48.702805,85.79601,48.702864
600,-21.34488,30.623972,86.614753,48.741142,86.614888,48.741201
610,-22.215068,31.111567,87.420714,48.777653,87.42085,48.777712
620,-23.093253,31.599519,88.214148,48.812451,88.214285,48.81251
630,-23.979311,32.087811,88.995431,48.845641,88.995569,48.8457
640,-24.873122,32.576427,89.76492,48.877319,89.765059,48.877379
650,-25.774571,33.065352,90.522959,48.907577,90.523099,48.907637
660,-26.683544,33.554574,91.269876,48.936497,91.270017,48.936557
670,-27.599932,34.044078,92.005986,48.964157,92.006128,48.964216
680,-28.523629,34.533853,92.731591,48.990628,92.731734,48.990687
