temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,7.7467,7.268,4.28301,3.833,6.58635,0.450011
200,15.9355,15.636,12.4122,11.665,1.91576,0.747216
298.15,19.9501,20,19.6251,18.82,-0.249706,0.805144
300,20.0002,20.05,19.7487,18.943,-0.248563,0.805705
400,21.9217,22.142,25.7974,25.032,-0.994754,0.765436
500,22.9296,23.33,30.8084,30.11,-1.71644,0.698393
600,23.5128,24.154,35.0449,34.44,-2.65481,0.604936
700,23.8774,24.803,38.6989,38.212,-3.73172,0.486863
800,24.1196,25.359,41.9041,41.562,-4.8876,0.342085
900,24.2881,25.874,44.7553,44.579,-6.12931,0.176255
1000,24.41,26.338,47.3209,47.329,-7.32039,-0.00810347
1100,24.5008,26.778,49.6519,49.86,-8.50395,-0.208124
