temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,7.67938,7.268,4.35162,3.833,5.66017,0.518622
200,15.6931,15.636,12.3532,11.665,0.365321,0.688239
298.15,19.7644,20,19.4785,18.82,-1.17792,0.658482
300,19.8158,20.05,19.6009,18.943,-1.1682,0.657899
400,21.7951,22.142,25.605,25.032,-1.56676,0.57301
500,22.8404,23.33,30.5921,30.11,-2.0985,0.482055
600,23.4475,24.154,34.8146,34.44,-2.92484,0.374618
700,23.828,24.803,38.4598,38.212,-3.93116,0.247755
800,24.0809,25.359,41.6591,41.562,-5.04007,0.0971193
900,24.2571,25.874,44.5062,44.579,-6.24908,-0.0727982
1000,24.3846,26.338,47.0689,47.329,-7.41668,-0.260115
1100,24.4797,26.778,49.3977,49.86,-8.58281,-0.462345
