temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,5.9507235,5.9507235,0,0,0,0
10,5.9507188,5.9507435,0.0024631872,0.0096295886,0.0024631965,0.0096296229
20,5.9505834,5.9512616,0.033912345,0.13381359,0.033912475,0.13381411
30,5.9496933,5.9547701,0.16922528,0.64810347,0.16922591,0.64810574
40,5.946624,5.9655764,0.47381014,1.5600654,0.47381175,1.56007
50,5.9396882,5.9864949,0.93613319,2.6332306,0.93613606,2.6332373
60,5.927524,6.0182413,1.5119545,3.7103624,1.5119587,3.7103711
70,5.9092027,6.0605551,2.1621763,4.7449827,2.162182,4.744993
80,5.884119,6.1130155,2.8612065,5.7422025,2.8612137,5.7422146
90,5.8518667,6.1753262,3.5939935,6.7172778,3.5940022,6.7172916
100,5.8121566,6.2473188,4.3516219,7.679381,4.3516322,7.6793965
110,5.7647713,6.3288736,5.1282035,8.6292522,5.1282153,8.6292694
120,5.7095446,6.4198466,5.9191832,9.5618682,5.9191966,9.5618869
130,5.6463529,6.5200285,6.7205818,10.469744,6.7205967,10.469764
140,5.5751105,6.6291337,7.5287376,11.345347,7.5287541,11.345368
150,5.4957669,6.7468069,8.3402662,12.182432,8.3402842,12.182454
160,5.4083042,6.872639,9.1520923,12.976559,9.1521118,12.976583
170,5.3127332,7.006186,9.9614866,13.725114,9.9615075,13.725138
180,5.2090905,7.1469858,10.766085,14.427072,10.766107,14.427097
190,5.0974342,7.2945728,11.563887,15.08268,11.563911,15.082705
200,4.977841,7.4484888,12.353239,15.693122,12.353264,15.693148
210,4.8504021,7.6082908,13.132803,16.260235,13.132829,16.260262
220,4.7152211,7.7735565,13.901525,16.786274,13.901552,16.786301
230,4.5724105,7.9438876,14.658596,17.273722,14.658625,17.27375
240,4.42209,8.1189109,15.403421,17.725163,15.403451,17.725191
250,4.2643843,8.2982794,16.135581,18.14318,16.135612,18.143208
260,4.0994215,8.4816715,16.854808,18.530292,16.85484,18.53032
270,3.9273317,8.6687903,17.560958,18.888907,17.560991,18.888935
280,3.7482461,8.8593623,18.253986,19.2213,18.254021,19.221329
290,3.5622956,9.053136,18.933932,19.529599,18.933968,19.529628
298.15,3.4057592,9.2132687,19.478482,19.764416,19.478519,19.764445
300,3.3696107,9.2498805,19.600899,19.815776,19.600936,19.815805
310,3.1703204,9.4493839,20.255043,20.081652,20.255081,20.081682
320,2.9645519,9.6514515,20.896561,20.328903,20.896599,20.328932
330,2.7524305,9.855905,21.52568,20.55906,21.525719,20.559089
340,2.5340788,10.06258,22.142652,20.773526,22.142692,20.773555
350,2.3096171,10.271327,22.747744,20.973581,22.747785,20.97361
360,2.0791626,10.482008,23.341237,21.160391,23.341279,21.160421
370,1.84283,10.694495,23.923418,21.335021,23.923461,21.33505
380,1.600731,10.908671,24.494579,21.498438,24.494622,21.498468
390,1.3529742,11.124429,25.055012,21.651525,25.055056,21.651555
400,1.0996655,11.34167,25.60501,21.795087,25.605055,21.795117
410,0.84090783,11.560301,26.144863,21.929856,26.144908,21.929886
420,0.57680115,11.78024,26.674854,22.056501,26.6749,22.05653
430,0.30744269,12.001406,27.195265,22.175631,27.195312,22.17566
440,0.032926881,12.223729,27.706369,22.287803,27.706417,22.287833
450,-0.24665456,12.447141,28.208435,22.393528,28.208483,22.393557
460,-0.53121255,12.67158,28.701722,22.493269,28.701772,22.493299
470,-0.8206606,12.896988,29.186486,22.587455,29.186536,22.587484
480,-1.1149147,13.123312,29.662972,22.676474,29.663022,22.676504
490,-1.4138932,13.350501,30.131417,22.760687,30.131468,22.760716
500,-1.717517,13.57851,30.592055,22.840421,30.592106,22.84045
510,-2.025709,13.807296,31.045108,22.915978,31.04516,22.916008
520,-2.3383946,14.036817,31.490792,22.987638,31.490844,22.987668
530,-2.655501,14.267036,31.929316,23.055656,31.929369,23.055686
540,-2.9769577,14.497919,32.360883,23.120269,32.360936,23.120299
550,-3.3026961,14.729431,32.785686,23.181693,32.78574,23.181723
560,-3.6326495,14.961543,33.203915,23.240131,33.20397,23.240161
570,-3.9667531,15.194225,33.61575,23.295769,33.615806,23.295798
580,-4.3049438,15.427449,34.021368,23.348777,34.021423,23.348807
590,-4.6471603,15.661192,34.420936,23.399317,34.420992,23.399346
600,-4.9933429,15.895428,34.814618,23.447535,34.814675,23.447564
610,-5.3434336,16.130135,35.202572,23.493569,35.202629,23.493598
620,-5.6973758,16.365292,35.584949,23.537546,35.585007,23.537575
630,-6.0551144,16.60088,35.961895,23.579584,35.961954,23.579614
640,-6.416596,16.836878,36.333553,23.619795,36.333612,23.619825
650,-6.7817683,17.07327,36.700059,23.65828,36.700118,23.65831
660,-7.1505805,17.310038,37.061544,23.695135,37.061603,23.695165
670,-7.5229829,17.547167,37.418135,23.73045,37.418195,23.730479
680,-7.8989273,17.784642,37.769955,23.764307,37.770016,23.764336
690,-8.2783665,18.022449,38.117124,23.796784,38.117185,23.796814
700,-8.6612546,18.260574,38.459755,23.827956,38.459816,23.827985
710,-9.0475468,18.499004,38.797959,23.857888,38.798021,23.857918
720,-9.4371994,18.737728,39.131843,23.886646,39.131905,23.886676
730,-9.8301696,18.976733,39.461511,23.914289,39.461573,23.914319
740,-10.226416,19.21601,39.787062,23.940874,39.787125,23.940904
750,-10.625897,19.455547,40.108593,23.966452,40.108657,23.966482
760,-11.028575,19.695336,40.426198,23.991074,40.426262,23.991104
770,-11.434409,19.935366,40.739967,24.014787,40.740031,24.014816
780,-11.843361,20.175629,41.049987,24.037632,41.050052,24.037662
790,-12.255396,20.416116,41.356344,24.059653,41.356409,24.059683
800,-12.670476,20.656819,41.659119,24.080888,41.659185,24.080917
810,-13.088567,20.897731,41.958392,24.101373,41.958458,24.101402
820,-13.509633,21.138844,42.25424,24.121143,42.254306,24.121172
830,-13.933641,21.380151,42.546737,24.14023,42.546804,24.14026
840,-14.360557,21.621646,42.835956,24.158666,42.836023,24.158695
850,-14.790349,21.863323,43.121967,24.176478,43.122034,24.176508
860,-15.222986,22.105174,43.404837,24.193696,43.404904,24.193725
870,-15.658435,22.347195,43.684632,24.210344,43.6847,24.210373
880,-16.096668,22.589379,43.961417,24.226447,43.961486,24.226477
890,-16.537654,22.831722,44.235254,24.242029,44.235322,24.242059
900,-16.981364,23.074218,44.506202,24.257112,44.506271,24.257142
910,-17.427769,23.316863,44.77432,24.271716,44.774389,24.271746
920,-17.876841,23.559651,45.039665,24.285862,45.039734,24.285892
930,-18.328553,23.802578,45.302292,24.299568,45.302361,24.299597
940,-18.782878,24.045641,45.562254,24.312852,45.562324,24.312882
950,-19.239789,24.288834,45.819603,24.325731,45.819674,24.325761
960,-19.699261,24.532154,46.074391,24.338222,46.074462,24.338252
970,-20.161269,24.775597,46.326666,24.350339,46.326737,24.350369
980,-20.625786,25.01916,46.576476,24.362098,46.576547,24.362128
990,-21.09279,25.262838,46.823867,24.373512,46.823939,24.373542
1000,-21.562256,25.506629,47.068885,24.384594,47.068957,24.384624
