temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,5.8364469,5.8364469,0,0,0,0
10,5.8364424,5.8364663,0.002396089,0.0094086547,0.0023960981,0.0094086882
20,5.8363117,5.8369603,0.032429755,0.12595265,0.032429878,0.12595314
30,5.8354711,5.8402487,0.15925321,0.60898441,0.1592538,0.60898655
40,5.8325775,5.8504908,0.44783061,1.4885674,0.44783214,1.4885719
50,5.8259913,5.8706095,0.89236385,2.5484737,0.89236661,2.5484804
60,5.8143435,5.9015312,1.4531272,3.6333879,1.4531313,3.6333965
70,5.796666,5.9431859,2.0931414,4.6924846,2.0931471,4.6924951
80,5.772301,5.9952928,2.7873974,5.7253936,2.7874046,5.7254059
90,5.740789,6.0576401,3.5205682,6.7419663,3.5205769,6.7419804
100,5.7017924,6.1300935,4.2830115,7.7466961,4.2830217,7.746712
110,5.655054,6.2125258,5.0679258,8.7368115,5.0679377,8.7368291
120,5.6003773,6.304757,5.8698307,9.7050554,5.8698442,9.7050746
130,5.5376168,6.4065252,6.683911,10.642828,6.683926,10.642848
140,5.4666731,6.5174857,7.5058045,11.542316,7.5058211,11.542338
150,5.3874879,6.6372238,8.3315728,12.397542,8.331591,12.397565
160,5.3000404,6.7652759,9.1577218,13.204639,9.1577415,13.204663
170,5.2043423,6.9011496,9.9812193,13.9617,9.9812404,13.961725
180,5.1004335,7.044342,10.799492,14.668436,10.799514,14.668461
190,4.9883771,7.1943536,11.610403,15.325783,11.610427,15.325809
200,4.8682558,7.350699,12.412216,15.935548,12.412241,15.935575
210,4.7401677,7.5129138,13.203553,16.500101,13.20358,16.500128
220,4.6042232,7.6805593,13.983346,17.022144,13.983374,17.022172
230,4.460542,7.8532245,14.750794,17.504533,14.750823,17.504561
240,4.3092504,8.0305274,15.505321,17.950149,15.505351,17.950177
250,4.1504799,8.2121143,16.246538,18.361817,16.246569,18.361845
260,3.9843648,8.3976596,16.974211,18.742245,16.974243,18.742273
270,3.8110412,8.5868636,17.688231,19.093991,17.688265,19.094019
280,3.6306458,8.7794518,18.388593,19.419445,18.388628,19.419474
290,3.4433147,8.9751723,19.075371,19.720822,19.075407,19.720851
298.15,3.285604,9.1368407,19.625144,19.950059,19.625181,19.950088
300,3.2491832,9.1737948,19.748705,20.000163,19.748742,20.000192
310,3.0483847,9.3751084,20.408786,20.259338,20.408824,20.259367
320,2.8410509,9.57892,21.055841,20.500056,21.05588,20.500085
330,2.6273105,9.7850532,21.690129,20.723876,21.690169,20.723905
340,2.4072899,9.993346,22.31193,20.932217,22.31197,20.932246
350,2.1811125,10.20365,22.921536,21.126368,22.921578,21.126397
360,1.9488988,10.41583,23.519253,21.307501,23.519295,21.307531
370,1.7107661,10.62976,24.10539,21.476682,24.105433,21.476711
380,1.4668286,10.845327,24.680259,21.634876,24.680303,21.634906
390,1.2171974,11.062424,25.244171,21.782963,25.244216,21.782993
400,0.96198063,11.280955,25.797436,21.921742,25.797482,21.921771
410,0.70128316,11.50083,26.340359,22.051938,26.340405,22.051968
420,0.43520692,11.721968,26.87324,22.174214,26.873286,22.174243
430,0.16385086,11.94429,27.396371,22.28917,27.396418,22.2892
440,-0.11268896,12.167728,27.91004,22.397358,27.910088,22.397387
450,-0.39431932,12.392217,28.414524,22.499276,28.414573,22.499306
460,-0.68094974,12.617695,28.910096,22.595383,28.910146,22.595413
470,-0.97249241,12.844106,29.397019,22.686098,29.397069,22.686127
480,-1.2688621,13.0714,29.875546,22.771802,29.875596,22.771832
490,-1.5699762,13.299527,30.345925,22.852847,30.345976,22.852877
500,-1.8757543,13.528442,30.808393,22.929555,30.808445,22.929585
510,-2.1861184,13.758104,31.263182,23.002221,31.263235,23.00225
520,-2.500993,13.988474,31.710514,23.071115,31.710567,23.071145
530,-2.8203046,14.219515,32.150603,23.136489,32.150657,23.136519
540,-3.1439816,14.451193,32.583657,23.198572,32.583711,23.198601
550,-3.4719549,14.683476,33.009875,23.257575,33.009929,23.257605
560,-3.804157,14.916335,33.42945,23.313695,33.429505,23.313725
570,-4.1405224,15.149741,33.842568,23.367112,33.842623,23.367142
580,-4.4809874,15.383669,34.249407,23.417994,34.249463,23.418023
590,-4.8254902,15.618093,34.650141,23.466494,34.650198,23.466524
600,-5.1739705,15.852991,35.044936,23.512758,35.044993,23.512787
610,-5.5263696,16.088341,35.433952,23.556916,35.43401,23.556946
620,-5.8826307,16.324123,35.817344,23.599094,35.817403,23.599124
630,-6.2426983,16.560317,36.195262,23.639405,36.195321,23.639435
640,-6.6065182,16.796905,36.567849,23.677956,36.567908,23.677986
650,-6.974038,17.03387,36.935244,23.714847,36.935303,23.714877
660,-7.3452062,17.271197,37.29758,23.75017,37.29764,23.7502
670,-7.7199731,17.508869,37.654988,23.784011,37.655049,23.784041
680,-8.09829,17.746872,38.007592,23.816451,38.007653,23.81648
690,-8.4801094,17.985193,38.355511,23.847564,38.355573,23.847594
700,-8.865385,18.223819,38.698863,23.877422,38.698925,23.877452
710,-9.2540718,18.462738,39.03776,23.90609,39.037822,23.90612
720,-9.6461257,18.701937,39.37231,23.93363,39.372373,23.933659
730,-10.041504,18.941407,39.702618,23.960099,39.702681,23.960128
740,-10.440164,19.181136,40.028784,23.985551,40.028848,23.985581
750,-10.842066,19.421115,40.350908,24.010037,40.350972,24.010067
760,-11.247169,19.661334,40.669083,24.033606,40.669147,24.033635
770,-11.655435,19.901784,40.983401,24.0563,40.983466,24.05633
780,-12.066825,20.142457,41.293951,24.078164,41.294016,24.078194
790,-12.481302,20.383345,41.600818,24.099236,41.600883,24.099266
800,-12.898829,20.624439,41.904085,24.119554,41.904151,24.119584
810,-13.319372,20.865733,42.203833,24.139153,42.203899,24.139183
820,-13.742894,21.10722,42.500139,24.158067,42.500206,24.158096
830,-14.169363,21.348892,42.793079,24.176326,42.793146,24.176355
840,-14.598745,21.590744,43.082725,24.193959,43.082793,24.193989
850,-15.031007,21.83277,43.369149,24.210996,43.369216,24.211026
860,-15.466117,22.074962,43.652418,24.227463,43.652486,24.227492
870,-15.904045,22.317317,43.9326,24.243383,43.932668,24.243413
880,-16.344759,22.559828,44.209759,24.258782,44.209827,24.258812
890,-16.78823,22.802491,44.483957,24.273681,44.484026,24.273711
900,-17.234429,23.0453,44.755255,24.288102,44.755324,24.288132
910,-17.683326,23.288252,45.023712,24.302065,45.023781,24.302094
920,-18.134894,23.53134,45.289385,24.315588,45.289455,24.315618
930,-18.589104,23.774562,45.55233,24.32869,45.5524,24.32872
940,-19.045931,24.017913,45.8126,24.341389,45.812671,24.341418
950,-19.505348,24.261388,46.070249,24.353699,46.070319,24.353729
960,-19.967328,24.504985,46.325326,24.365638,46.325397,24.365667
970,-20.431846,24.7487,46.577882,24.377219,46.577954,24.377248
980,-20.898877,24.992529,46.827965,24.388456,46.828037,24.388486
990,-21.368397,25.236468,47.075621,24.399364,47.075693,24.399394
1000,-21.840382,25.480515,47.320897,24.409955,47.320969,24.409984
1010,-22.314807,25.724666,47.563835,24.42024,47.563908,24.420269
1020,-22.791651,25.968919,47.80448,24.430231,47.804553,24.430261
1030,-23.270889,26.21327,48.042873,24.43994,48.042946,24.43997
1040,-23.752501,26.457717,48.279055,24.449377,48.279129,24.449407
1050,-24.236463,26.702256,48.513066,24.458552,48.51314,24.458581
1060,-24.722755,26.946887,48.744945,24.467474,48.745019,24.467503
1070,-25.211355,27.191605,48.974729,24.476152,48.974804,24.476182
1080,-25.702243,27.436409,49.202455,24.484596,49.20253,24.484626
1090,-26.195397,27.681296,49.428159,24.492814,49.428234,24.492844
1100,-26.690799,27.926265,49.651876,24.500813,49.651951,24.500843
1110,-27.188428,28.171312,49.87364,24.508602,49.873715,24.508631
1120,-27.688266,28.416436,50.093484,24.516186,50.093559,24.516216
1130,-28.190292,28.661635,50.31144,24.523575,50.311516,24.523605
1140,-28.694488,28.906907,50.52754,24.530774,50.527616,24.530803
1150,-29.200837,29.15225,50.741814,24.537789,50.741891,24.537819
1160,-29.709319,29.397662,50.954294,24.544627,50.95437,24.544657
1170,-30.219917,29.643142,51.165007,24.551294,51.165084,24.551323
1180,-30.732613,29.888687,51.373983,24.557795,51.374061,24.557825
1190,-31.247391,30.134297,51.58125,24.564136,51.581328,24.564165
1200,-31.764232,30.37997,51.786835,24.570322,51.786913,24.570351
1210,-32.283122,30.625703,51.990764,24.576357,51.990842,24.576387
1220,-32.804042,30.871496,52.193064,24.582248,52.193143,24.582277
