temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,4.68123,4.263,1.55938,1.46,9.81068,0.0993798
200,17.1252,16.301,8.58053,8.033,5.05619,0.547533
298.15,27.5538,26.84,17.4754,16.61,2.65952,0.865394
300,27.7161,27.008,17.6463,16.777,2.62181,0.869337
400,34.7415,34.1,26.6593,25.598,1.88133,1.06127
500,39.1528,38.639,34.9232,33.727,1.32986,1.19621
600,41.9775,41.79,42.3296,41.066,0.448681,1.26358
700,43.8555,44.108,48.9508,47.69,-0.572365,1.2608
800,45.1531,45.878,54.8967,53.7,-1.58016,1.19666
900,46.081,47.283,60.2714,59.188,-2.54208,1.0834
1000,46.7649,48.421,65.1637,64.231,-3.42015,0.932663
1100,47.2821,49.363,69.6462,68.891,-4.21545,0.75519
1200,47.682,50.158,73.7781,73.221,-4.93632,0.557134
1300,47.9973,50.84,77.6077,77.263,-5.59155,0.344662
1400,48.2499,51.43,81.1742,81.053,-6.18338,0.12122
1500,48.4553,51.944,84.5104,84.619,-6.71618,-0.10864
