temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,4.58116,4.263,1.52586,1.46,7.46319,0.0658644
200,16.6894,16.301,8.37618,8.033,2.38292,0.34318
298.15,26.9949,26.84,17.0647,16.61,0.576962,0.454722
300,27.1572,27.008,17.2322,16.777,0.552407,0.455208
400,34.2437,34.1,26.0907,25.598,0.421449,0.492664
500,38.7504,38.639,34.2538,33.727,0.288275,0.52679
600,41.6582,41.79,41.5944,41.066,-0.315474,0.528411
700,43.6007,44.108,48.1715,47.69,-1.15017,0.481482
800,44.947,45.878,54.0866,53.7,-2.02938,0.38664
900,45.9119,47.283,59.4393,59.188,-2.89981,0.251339
1000,46.6241,48.421,64.3153,64.231,-3.71096,0.0843113
1100,47.1634,49.363,68.7855,68.891,-4.45606,-0.105507
1200,47.5807,50.158,72.9079,73.221,-5.13843,-0.313122
1300,47.9098,50.84,76.7299,77.263,-5.76353,-0.533138
1400,48.1738,51.43,80.2904,81.053,-6.33139,-0.762632
1500,48.3885,51.944,83.6216,84.619,-6.84484,-0.997416
