temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,21.207165,21.207165,0,0,0,0
10,21.207165,21.207166,9.6263882e-05,0.00067281079,9.6264445e-05,0.00067281431
20,21.207151,21.207229,0.0038891453,0.016453689,0.0038891609,0.01645375
30,21.207048,21.207631,0.019428873,0.073940714,0.019428945,0.073940985
40,21.206687,21.208997,0.057751939,0.21896861,0.057752153,0.21896943
50,21.205764,21.212508,0.13486968,0.51242598,0.13487018,0.51242788
60,21.203802,21.219888,0.26809357,0.99709324,0.26809456,0.99709677
70,21.200171,21.233105,0.47048726,1.6773624,0.47048893,1.677368
80,21.194141,21.254001,0.74825803,2.5270604,0.74826061,2.5270684
90,21.184954,21.284082,1.1014193,3.5074823,1.1014229,3.5074927
100,21.171875,21.324461,1.5258644,4.5811559,1.5258692,4.5811688
110,21.15422,21.375915,2.0154122,5.7181629,2.0154184,5.7181782
120,21.131372,21.438963,2.5632599,6.8970856,2.5632676,6.8971033
130,21.102782,21.513947,3.1628096,8.1033766,3.1628188,8.1033967
140,21.067964,21.601088,3.8080349,9.3270923,3.8080457,9.3271149
150,21.026487,21.700523,4.4935717,10.560948,4.4935841,10.560973
160,20.977974,21.812321,5.2146731,11.798994,5.2146871,11.799022
170,20.922089,21.936499,5.9671152,13.035866,5.967131,13.035896
180,20.85854,22.073018,6.7471009,14.266462,6.7471184,14.266494
190,20.787067,22.221791,7.551178,15.485873,7.5511973,15.485907
200,20.707446,22.382682,8.3761802,16.68944,8.3762013,16.689476
210,20.619483,22.555512,9.2191857,17.87286,9.2192086,17.872898
220,20.523012,22.740059,10.07749,19.032278,10.077515,19.032317
230,20.417891,22.936067,10.948591,20.16436,10.948617,20.164401
240,20.304005,23.143246,11.830172,21.266329,11.830201,21.266372
250,20.18126,23.361285,12.720103,22.33597,12.720133,22.336014
260,20.049582,23.589852,13.616426,23.371607,13.616458,23.371653
270,19.908916,23.8286,14.51735,24.372071,14.517384,24.372117
280,19.759225,24.077174,15.421248,25.336644,15.421283,25.336691
290,19.600486,24.335212,16.326643,26.265009,16.32668,26.265058
298.15,19.464416,24.552263,17.064722,26.994857,17.06476,26.994906
300,19.432691,24.602354,17.232208,27.157194,17.232246,27.157244
310,19.255845,24.878237,18.136747,28.013513,18.136787,28.013564
320,19.069963,25.162506,19.039196,28.834518,19.039238,28.834569
