temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,20.753207,20.753207,0,0,0,0
10,20.753207,20.753208,0.00010140552,0.00070522579,0.00010140611,0.00070522946
20,20.753193,20.753274,0.0040342378,0.017006683,0.004034254,0.017006746
30,20.753087,20.753688,0.020038592,0.075990852,0.020038667,0.07599113
40,20.752715,20.755089,0.05934522,0.22430978,0.05934544,0.22431062
50,20.751768,20.758681,0.13826709,0.52409308,0.13826761,0.52409501
60,20.749758,20.766226,0.27446264,1.0190212,0.27446365,1.0190248
70,20.746042,20.779731,0.48125972,1.7135774,0.48126144,1.7135831
80,20.739876,20.801076,0.76499953,2.5812253,0.76500216,2.5812334
90,20.730485,20.831802,1.1257386,3.5829569,1.1257423,3.5829675
100,20.717118,20.873056,1.5593798,4.6812295,1.5593848,4.6812426
110,20.699075,20.925647,2.0597482,5.8461383,2.0597546,5.846154
120,20.675723,20.990128,2.6200416,7.0561337,2.6200494,7.0561519
130,20.646497,21.06687,3.2336413,8.296252,3.2336507,8.2962727
140,20.610893,21.156118,3.8944631,9.5558432,3.8944741,9.5558664
150,20.568468,21.258024,4.5970405,10.826713,4.5970532,10.826739
160,20.51883,21.372667,5.336482,12.101918,5.3364964,12.101946
170,20.461631,21.500056,6.1083858,13.375134,6.1084019,13.375165
180,20.396567,21.640143,6.9087548,14.640412,6.9087728,14.640444
190,20.323373,21.792819,7.7339285,15.892158,7.7339483,15.892192
200,20.241817,21.957924,8.5805331,17.125209,8.5805548,17.125246
210,20.151701,22.135246,9.4454497,18.334933,9.4454732,18.334972
220,20.052857,22.324531,10.325793,19.517304,10.325818,19.517344
230,19.945143,22.525489,11.218897,20.668946,11.218924,20.668988
240,19.828444,22.737798,12.122309,21.787147,12.122338,21.78719
250,19.70267,22.961114,13.033775,22.869829,13.033806,22.869874
260,19.567749,23.195072,13.951241,23.915512,13.951274,23.915559
270,19.423631,23.439297,14.872838,24.923255,14.872872,24.923302
280,19.270284,23.693409,15.796874,25.892586,15.79691,25.892634
290,19.107691,23.957021,16.721828,26.823442,16.721866,26.823491
298.15,18.968337,24.178625,17.475394,27.553814,17.475433,27.553865
300,18.935849,24.22975,17.646337,27.716098,17.646377,27.716149
310,18.754769,24.511217,18.569186,28.571111,18.569227,28.571163
320,18.564474,24.801049,19.489297,29.389261,19.48934,29.389313
330,18.364996,25.098883,20.405718,30.171502,20.405762,30.171555
340,18.156375,25.404363,21.317613,30.91892,21.317659,30.918973
350,17.938661,25.717149,22.224251,31.632697,22.224299,31.632751
360,17.71191,26.036909,23.124999,32.314079,23.125048,32.314133
370,17.476183,26.363327,24.019309,32.964352,24.019359,32.964406
380,17.231547,26.696097,24.906712,33.584818,24.906764,33.584873
390,16.978073,27.034928,25.786809,34.176782,25.786862,34.176837
400,16.715836,27.379542,26.659265,34.741535,26.65932,34.741591
410,16.444914,27.729672,27.523802,35.280346,27.523858,35.280402
420,16.165387,28.085067,28.380189,35.794453,28.380247,35.794509
430,15.877338,28.445483,29.228245,36.285057,29.228304,36.285113
440,15.58085,28.810693,30.067825,36.753316,30.067885,36.753373
450,15.27601,29.180479,30.89882,37.200347,30.898881,37.200404
460,14.962903,29.554633,31.721152,37.627217,31.721215,37.627275
470,14.641616,29.932959,32.534773,38.034951,32.534837,38.035008
480,14.312236,30.315271,33.339656,38.424521,33.339721,38.424579
490,13.974852,30.701392,34.135797,38.796858,34.135863,38.796916
500,13.62955,31.091154,34.923209,39.152843,34.923276,39.152901
510,13.276417,31.484397,35.701923,39.493315,35.701992,39.493373
520,12.91554,31.880971,36.471983,39.819067,36.472053,39.819125
530,12.547006,32.280732,37.233446,40.130852,37.233517,40.13091
540,12.1709,32.683544,37.986379,40.429383,37.986451,40.429441
550,11.787306,33.089278,38.730857,40.715334,38.73093,40.715392
560,11.39631,33.497811,39.466966,40.989341,39.46704,40.9894
570,10.997995,33.909027,40.194794,41.252009,40.194869,41.252067
580,10.592442,34.322815,40.914437,41.503904,40.914513,41.503963
590,10.179733,34.739071,41.625997,41.745567,41.626074,41.745626
600,9.7599484,35.157694,42.329576,41.977504,42.329655,41.977563
610,9.3331676,35.57859,43.025283,42.200196,43.025362,42.200255
620,8.8994686,36.001669,43.713226,42.414095,43.713306,42.414154
630,8.4589286,36.426844,44.393517,42.619632,44.393598,42.619691
640,8.0116234,36.854035,45.066268,42.817209,45.06635,42.817268
650,7.557628,37.283163,45.731593,43.007209,45.731676,43.007268
660,7.0970159,37.714155,46.389605,43.189994,46.389689,43.190054
670,6.6298599,38.14694,47.040418,43.365906,47.040503,43.365965
680,6.1562312,38.581451,47.684147,43.535267,47.684233,43.535326
690,5.6762002,39.017625,48.320905,43.698382,48.320992,43.698442
700,5.1898359,39.455399,48.950805,43.855541,48.950892,43.855601
710,4.6972065,39.894717,49.573958,44.007017,49.574046,44.007076
720,4.1983789,40.335521,50.190476,44.153069,50.190565,44.153128
730,3.6934188,40.777761,50.800468,44.293941,50.800558,44.294
740,3.1823909,41.221384,51.404044,44.429865,51.404135,44.429924
750,2.6653589,41.666342,52.001311,44.561062,52.001402,44.561121
760,2.1423854,42.11259,52.592374,44.687739,52.592467,44.687799
770,1.6135318,42.560083,53.177339,44.810095,53.177432,44.810154
780,1.0788586,43.008778,53.756307,44.928316,53.756401,44.928375
790,0.53842528,43.458636,54.32938,45.04258,54.329475,45.042639
800,-0.0077096992,43.909617,54.896658,45.153055,54.896754,45.153114
810,-0.55948889,44.361685,55.458239,45.259902,55.458335,45.259962
820,-1.1168558,44.814803,56.014219,45.363273,56.014315,45.363333
830,-1.6797549,45.268939,56.564692,45.463313,56.564789,45.463372
840,-2.2481316,45.724059,57.109751,45.560157,57.109849,45.560217
850,-2.8219322,46.180132,57.649487,45.653938,57.649586,45.653998
860,-3.4011039,46.637128,58.183991,45.74478,58.18409,45.744839
870,-3.9855948,47.095018,58.713348,45.832799,58.713449,45.832859
880,-4.575354,47.553775,59.237647,45.91811,59.237747,45.918169
890,-5.1703312,48.013372,59.75697,46.000818,59.757071,46.000878
900,-5.7704771,48.473783,60.2714,46.081027,60.271502,46.081086
910,-6.3757432,48.934984,60.781019,46.158833,60.781122,46.158892
920,-6.9860817,49.396952,61.285906,46.234328,61.28601,46.234388
930,-7.6014458,49.859663,61.786139,46.307602,61.786243,46.307661
940,-8.2217892,50.323097,62.281794,46.378738,62.281899,46.378798
950,-8.8470666,50.787231,62.772945,46.447818,62.773051,46.447877
960,-9.4772333,51.252047,63.259667,46.514917,63.259773,46.514976
970,-10.112245,51.717523,63.74203,46.580108,63.742136,46.580168
980,-10.75206,52.183643,64.220104,46.643463,64.220212,46.643523
990,-11.396633,52.650387,64.69396,46.705048,64.694068,46.705108
1000,-12.045925,53.117738,65.163663,46.764927,65.163771,46.764987
1010,-12.699893,53.58568,65.62928,46.823161,65.629389,46.823221
1020,-13.358497,54.054196,66.090876,46.879809,66.090985,46.879869
1030,-14.021697,54.523271,66.548513,46.934927,66.548623,46.934986
1040,-14.689454,54.992889,67.002254,46.988567,67.002365,46.988627
1050,-15.36173,55.463037,67.452159,47.040782,67.452271,47.040842
1060,-16.038485,55.933701,67.898288,47.091621,67.8984,47.091681
1070,-16.719683,56.404865,68.3407,47.141131,68.340812,47.14119
1080,-17.405287,56.876519,68.77945,47.189357,68.779563,47.189416
1090,-18.09526,57.348648,69.214595,47.236342,69.214709,47.236401
1100,-18.789567,57.821242,69.64619,47.282127,69.646304,47.282186
1110,-19.488172,58.294287,70.074288,47.326753,70.074402,47.326813
1120,-20.191041,58.767773,70.498941,47.370258,70.499056,47.370317
1130,-20.89814,59.241689,70.920202,47.412678,70.920318,47.412738
1140,-21.609434,59.716023,71.33812,47.454049,71.338237,47.454108
1150,-22.324891,60.190766,71.752746,47.494404,71.752862,47.494464
1160,-23.044478,60.665908,72.164126,47.533776,72.164243,47.533836
1170,-23.768163,61.141439,72.572309,47.572197,72.572427,47.572256
1180,-24.495914,61.617349,72.977341,47.609695,72.97746,47.609754
1190,-25.227699,62.09363,73.379268,47.6463,73.379387,47.646359
1200,-25.963489,62.570272,73.778134,47.68204,73.778253,47.682099
1210,-26.703252,63.047268,74.173983,47.716941,74.174103,47.717001
1220,-27.446959,63.524608,74.566858,47.75103,74.566978,47.751089
1230,-28.194579,64.002285,74.956801,47.78433,74.956922,47.784389
1240,-28.946085,64.480292,75.343853,47.816866,75.343974,47.816925
1250,-29.701447,64.95862,75.728054,47.84866,75.728176,47.848719
1260,-30.460637,65.437263,76.109444,47.879735,76.109566,47.879794
1270,-31.223627,65.916213,76.488062,47.910111,76.488185,47.910171
1280,-31.990389,66.395463,76.863947,47.939811,76.86407,47.93987
1290,-32.760897,66.875007,77.237134,47.968852,77.237258,47.968911
1300,-33.535123,67.354838,77.607662,47.997254,77.607786,47.997314
1310,-34.313041,67.83495,77.975566,48.025036,77.97569,48.025096
1320,-35.094625,68.315336,78.34088,48.052216,78.341005,48.052275
1330,-35.87985,68.795992,78.703641,48.07881,78.703766,48.078869
1340,-36.66869,69.276911,79.063881,48.104834,79.064007,48.104894
1350,-37.46112,69.758087,79.421634,48.130306,79.421761,48.130365
1360,-38.257114,70.239515,79.776933,48.15524,79.77706,48.155299
1370,-39.05665,70.72119,80.12981,48.179651,80.129937,48.179711
1380,-39.859703,71.203106,80.480296,48.203554,80.480424,48.203613
1390,-40.666248,71.685259,80.828423,48.226962,80.828551,48.227021
1400,-41.476263,72.167644,81.17422,48.249889,81.174348,48.249948
1410,-42.289725,72.650256,81.517717,48.272348,81.517846,48.272407
1420,-43.10661,73.133089,81.858943,48.294351,81.859073,48.29441
1430,-43.926896,73.616141,82.197928,48.315911,82.198058,48.31597
1440,-44.750561,74.099406,82.5347,48.337039,82.53483,48.337098
1450,-45.577583,74.582881,82.869285,48.357746,82.869416,48.357805
1460,-46.40794,75.06656,83.201712,48.378044,83.201843,48.378103
1470,-47.24161,75.55044,83.532007,48.397943,83.532138,48.398002
1480,-48.078573,76.034517,83.860196,48.417453,83.860328,48.417513
1490,-48.918807,76.518788,84.186305,48.436585,84.186438,48.436645
1500,-49.762292,77.003248,84.51036,48.455348,84.510493,48.455408
1510,-50.609008,77.487894,84.832385,48.473752,84.832518,48.473811
1520,-51.458933,77.972722,85.152405,48.491805,85.152538,48.491864
1530,-52.312049,78.457729,85.470443,48.509516,85.470577,48.509575
1540,-53.168336,78.942911,85.786524,48.526894,85.786658,48.526953
1550,-54.027773,79.428265,86.10067,48.543946,86.100804,48.544006
1560,-54.890343,79.913789,86.412905,48.560682,86.41304,48.560741
1570,-55.756025,80.399478,86.72325,48.577109,86.723385,48.577168
1580,-56.624801,80.88533,87.031729,48.593233,87.031864,48.593293
1590,-57.496653,81.371342,87.338362,48.609064,87.338498,48.609123
1600,-58.371562,81.85751,87.64317,48.624607,87.643307,48.624666
1610,-59.249511,82.343833,87.946176,48.639869,87.946313,48.639928
1620,-60.13048,82.830307,88.247399,48.654857,88.247536,48.654917
1630,-61.014453,83.316929,88.54686,48.669578,88.546998,48.669638
1640,-61.901411,83.803697,88.844579,48.684038,88.844716,48.684098
1650,-62.791339,84.290609,89.140574,48.698243,89.140713,48.698302
1660,-63.684217,84.777661,89.434867,48.712199,89.435005,48.712258
1670,-64.58003,85.264852,89.727475,48.725911,89.727614,48.725971
1680,-65.478761,85.752179,90.018417,48.739386,90.018556,48.739445
1690,-66.380393,86.239639,90.307711,48.752628,90.307851,48.752687
